name,important_feature,interval_start,interval_end,gap,count
beethoven_woo80_score2,1,1,3,0.013116965691248577,3
beethoven_woo80_score2,1,1,4,0.014678812026977541,5
beethoven_woo80_score2,1,2,3,0.01254152258237203,3
beethoven_woo80_score2,1,2,4,0.017164790630340578,5
beethoven_woo80_score2,1,2,5,0.018701004981994628,5
beethoven_woo80_score2,1,3,5,0.012165725231170654,2
beethoven_woo80_score2,1,3,6,0.013179928064346312,3
beethoven_woo80_score2,1,4,7,0.010869652032852171,1
beethoven_woo80_score2,1,5,7,0.011694975197315216,2
beethoven_woo80_score2,1,5,8,0.014018835499882698,8
beethoven_woo80_score2,1,6,8,0.011819154024124146,3
beethoven_woo80_score2,1,6,9,0.014611569046974185,5
beethoven_woo80_score2,1,7,9,0.01170627772808075,2
beethoven_woo80_score2,1,7,10,0.015712276101112366,5
beethoven_woo80_score2,1,8,10,0.01202041208744049,5
beethoven_woo80_score2,1,8,11,0.016098544001579285,3
beethoven_woo80_score2,1,9,10,0.011400192975997923,1
beethoven_woo80_score2,1,9,11,0.013411258657773336,3
beethoven_woo80_score2,1,9,12,0.01820996900399526,3
beethoven_woo80_score2,1,10,11,0.011451289057731628,2
beethoven_woo80_score2,1,10,12,0.016988426446914673,2
beethoven_woo80_score2,1,16,19,0.012052685022354126,2
beethoven_woo80_score2,1,17,19,0.01041346788406372,1
beethoven_woo80_score2,1,17,20,0.011091232299804688,2
beethoven_woo80_score2,1,18,20,0.010119795799255371,1
beethoven_woo80_score2,1,24,27,0.010415732860565186,1
beethoven_woo80_score2,1,25,27,0.010326653718948364,1
beethoven_woo80_score2,1,25,28,0.010778248310089113,1
beethoven_woo80_score2,1,29,30,0.012861311435699465,1
beethoven_woo80_score2,1,29,31,0.0131891667842865,1
beethoven_woo80_score2,1,29,32,0.014857739210128784,1
beethoven_woo80_score2,1,32,34,0.010098636150360107,1
beethoven_woo80_score2,1,32,35,0.010381735861301422,2
beethoven_woo80_score2,1,33,34,0.010150492191314696,1
beethoven_woo80_score2,1,33,35,0.010443747043609621,1
beethoven_woo80_score2,1,33,36,0.010240882635116577,1
beethoven_woo80_score2,1,34,37,0.010318249464035034,1
beethoven_woo80_score2,1,35,37,0.01013895869255066,1
beethoven_woo80_score2,1,35,38,0.011675179004669191,1
beethoven_woo80_score2,1,36,38,0.01036185026168823,1
beethoven_woo80_score2,1,36,39,0.01009996235370636,2
beethoven_woo80_score2,1,38,41,0.014623582363128662,1
beethoven_woo80_score2,1,39,41,0.012355953454971312,1
beethoven_woo80_score2,1,39,42,0.013613730669021606,1
beethoven_woo80_score2,1,40,41,0.011024057865142822,1
beethoven_woo80_score2,1,40,42,0.012361615896224977,1
beethoven_woo80_score2,1,40,43,0.013102948665618895,1
beethoven_woo80_score2,1,45,46,0.012300342321395874,1
beethoven_woo80_score2,1,45,47,0.015245169401168825,1
beethoven_woo80_score2,1,45,48,0.019148871302604675,2
beethoven_woo80_score2,1,46,48,0.012291207909584044,2
beethoven_woo80_score2,1,46,49,0.013543769717216492,2
beethoven_woo80_score2,1,47,48,0.011882752180099487,1
beethoven_woo80_score2,1,47,49,0.011521399021148682,2
beethoven_woo80_score2,1,47,50,0.019870281219482425,1
beethoven_woo80_score2,1,48,50,0.014238983392715452,1
beethoven_woo80_score2,1,48,51,0.02708867192268372,6
beethoven_woo80_score2,1,49,50,0.013200124104817707,3
beethoven_woo80_score2,1,49,51,0.02202911227941513,10
beethoven_woo80_score2,1,49,52,0.021385395526885988,10
beethoven_woo80_score2,1,50,51,0.021311183770497642,6
beethoven_woo80_score2,1,50,52,0.01853286474943161,8
beethoven_woo80_score2,1,50,53,0.02076090375582377,3
beethoven_woo80_score2,1,51,52,0.014642179012298584,1
beethoven_woo80_score2,1,51,53,0.017216434081395466,3
beethoven_woo80_score2,1,51,54,0.019122153520584103,4
beethoven_woo80_score2,1,52,53,0.012535065412521362,2
beethoven_woo80_score2,1,52,54,0.018192688624064132,3
beethoven_woo80_score2,1,52,55,0.019754678010940552,4
beethoven_woo80_score2,1,53,54,0.01180716355641683,3
beethoven_woo80_score2,1,53,55,0.016265474259853363,4
beethoven_woo80_score2,1,53,56,0.018972225487232208,4
beethoven_woo80_score2,1,54,55,0.012629419565200806,2
beethoven_woo80_score2,1,54,56,0.017130186160405476,3
beethoven_woo80_score2,1,55,56,0.013938575983047484,1
