annotation_item_id,annotation_id,item,level,pid,suggestion,observation,start_measure,end_measure,score
947,39,6,1,12,0,3,30,32,8.0
963,39,22,2,12,5,7,30,32,8.0
964,39,23,2,12,5,7,30,32,8.0
982,40,9,1,12,0,8,53,53,8.0
1005,40,32,2,12,7,6,53,53,8.0
1007,41,2,1,12,0,8,65,69,8.0
1017,41,12,2,12,6,7,65,69,8.0
1038,42,1,1,12,0,6,97,99,8.0
1048,42,11,2,12,4,7,97,99,8.0
1078,43,9,1,12,0,6,135,135,8.0
1101,43,32,2,12,7,3,135,135,8.0
1110,44,9,1,12,0,6,145,147,8.0
1112,44,11,2,12,1,5,145,147,8.0
1133,44,32,2,12,7,4,145,147,8.0
1134,45,1,1,12,0,8,145,147,8.0
1142,45,9,1,12,0,6,145,147,8.0
1144,45,11,2,12,1,5,145,147,8.0
1165,45,32,2,12,7,4,145,147,8.0
1174,46,9,1,12,0,6,151,151,8.0
1197,46,32,2,12,7,3,151,151,8.0
1206,47,9,1,12,0,6,179,179,8.0
1229,47,32,2,12,7,3,179,179,8.0
1235,48,6,1,12,0,8,289,292,8.0
1251,48,22,2,12,5,6,289,292,8.0
1252,48,23,2,12,5,6,289,292,8.0
1262,49,1,1,12,0,6,1,6,8.0
1271,49,10,2,12,2,6,1,6,8.0
1272,49,11,2,12,5,3,1,6,8.0
1302,50,9,1,12,0,6,20,20,8.0
1325,50,32,2,12,7,3,20,20,8.0
1326,51,1,1,13,0,6,1,6,6.0
1327,51,2,1,13,0,6,1,6,6.0
1330,51,5,1,13,0,6,1,6,6.0
1334,51,9,1,13,0,6,1,6,6.0
1335,51,10,2,13,3,6,1,6,6.0
1336,51,11,2,13,4,6,1,6,6.0
1337,51,12,2,13,5,7,1,6,6.0
1344,51,19,2,13,6,3,1,6,6.0
1346,51,21,2,13,3,7,1,6,6.0
1356,51,31,2,13,7,3,1,6,6.0
1357,51,32,2,13,7,3,1,6,6.0
1366,52,9,1,13,0,5,10,10,6.0
1389,52,32,2,13,7,2,10,10,6.0
1398,53,9,1,13,0,5,10,12,6.0
1421,53,32,2,13,7,3,10,12,6.0
1422,54,1,1,13,0,5,40,40,6.0
1432,54,11,2,13,5,3,40,40,6.0
1462,55,9,1,13,0,7,49,49,6.0
1485,55,32,2,13,7,4,49,49,6.0
1494,56,9,1,13,0,4,66,66,6.0
1517,56,32,2,13,7,2,66,66,6.0
1526,57,9,1,13,0,7,67,69,6.0
1549,57,32,2,13,7,3,67,69,6.0
1561,58,12,2,13,5,6,90,93,6.0
1562,58,13,2,13,6,7,90,93,6.0
1584,59,3,1,13,0,6,106,111,6.0
1595,59,14,2,13,4,3,106,111,6.0
1616,60,3,1,13,0,6,114,119,6.0
1627,60,14,2,13,5,2,114,119,6.0
1654,61,9,1,13,0,7,135,135,6.0
1677,61,32,2,13,7,4,135,135,6.0
1686,62,9,1,13,0,6,145,152,6.0
1709,62,32,2,13,7,3,145,152,6.0
1718,63,9,1,13,0,6,145,152,6.0
1722,63,13,2,13,5,7,145,152,6.0
1730,63,21,2,13,3,6,145,152,6.0
1741,63,32,2,13,7,3,145,152,6.0
1750,64,9,1,13,0,5,160,160,6.0
1773,64,32,2,13,7,3,160,160,6.0
1775,65,2,1,13,0,6,161,165,6.0
1786,65,13,2,13,6,7,161,165,6.0
1794,65,21,2,13,5,7,161,165,6.0
1811,66,6,1,13,0,6,214,216,6.0
1827,66,22,2,13,3,7,214,216,6.0
1828,66,23,2,13,3,7,214,216,6.0
1843,67,6,1,13,0,6,256,263,6.0
1859,67,22,2,13,4,7,256,263,6.0
1860,67,23,2,13,4,7,256,263,6.0
1875,68,6,1,13,0,6,278,279,6.0
1883,68,14,2,13,5,2,278,279,6.0
1891,68,22,2,13,4,6,278,279,6.0
1892,68,23,2,13,4,6,278,279,6.0
1907,69,6,1,13,0,6,303,304,6.0
1923,69,22,2,13,4,6,303,304,6.0
1924,69,23,2,13,4,6,303,304,6.0
1934,70,1,1,12,0,6,41,46,8.0
1944,70,11,2,12,4,6,41,46,8.0
1971,71,6,1,12,0,6,30,32,8.0
1987,71,22,2,12,4,7,30,32,8.0
1988,71,23,2,12,4,7,30,32,8.0
1998,72,1,1,12,0,6,41,45,8.0
2008,72,11,2,12,5,6,41,45,8.0
2031,73,2,1,12,0,6,65,69,8.0
2041,73,12,2,12,5,7,65,69,8.0
2064,74,3,1,12,0,6,95,95,8.0
2075,74,14,2,12,5,4,95,95,8.0
2094,75,1,1,12,0,6,97,101,8.0
2104,75,11,2,12,2,5,97,101,8.0
2128,76,3,1,12,0,6,105,111,8.0
2139,76,14,2,12,5,3,105,111,8.0
2166,77,9,1,12,0,6,130,130,8.0
2189,77,32,2,12,7,3,130,130,8.0
2198,78,9,1,12,0,5,151,151,8.0
2221,78,32,2,12,7,4,151,151,8.0
2224,79,3,1,12,0,6,161,176,8.0
2235,79,14,2,12,6,3,161,176,8.0
2259,80,6,1,12,0,6,174,175,8.0
2275,80,22,2,12,4,7,174,175,8.0
2276,80,23,2,12,4,7,174,175,8.0
2286,81,1,1,12,0,6,185,192,8.0
2295,81,10,2,12,3,1,185,192,8.0
2326,82,9,1,12,0,4,212,213,8.0
2349,82,32,2,12,7,2,212,213,8.0
2355,83,6,1,12,0,5,214,216,8.0
2371,83,22,2,12,4,7,214,216,8.0
2372,83,23,2,12,4,7,214,216,8.0
2390,84,9,1,12,0,6,220,220,8.0
2413,84,32,2,12,7,3,220,220,8.0
2419,85,6,1,12,0,5,237,240,8.0
2422,85,9,1,12,0,6,237,240,8.0
2435,85,22,2,12,4,7,237,240,8.0
2436,85,23,2,12,4,7,237,240,8.0
2445,85,32,2,12,7,3,237,240,8.0
2454,86,9,1,12,0,6,263,263,8.0
2477,86,32,2,12,7,3,263,263,8.0
2478,87,1,1,14,0,6,4,4,8.0
2488,87,11,2,14,1,4,4,4,8.0
2518,88,9,1,14,0,5,17,21,8.0
2541,88,32,2,14,7,3,17,21,8.0
2550,89,9,1,14,0,5,26,32,8.0
2573,89,32,2,14,7,3,26,32,8.0
2582,90,9,1,14,0,4,38,38,8.0
2605,90,32,2,14,7,2,38,38,8.0
2614,91,9,1,14,0,5,50,56,8.0
2636,91,31,2,14,7,2,50,56,8.0
2643,92,6,1,14,0,5,81,88,8.0
2659,92,22,2,14,4,1,81,88,8.0
2660,92,23,2,14,4,1,81,88,8.0
2675,93,6,1,14,0,5,89,93,8.0
2691,93,22,2,14,4,1,89,93,8.0
2692,93,23,2,14,4,1,89,93,8.0
2704,94,3,1,14,0,5,108,108,8.0
2715,94,14,2,14,5,3,108,108,8.0
2739,95,6,1,14,0,5,128,128,8.0
2755,95,22,2,14,4,6,128,128,8.0
2756,95,23,2,14,4,6,128,128,8.0
2770,96,5,1,14,0,6,145,149,8.0
2774,96,9,1,14,0,6,145,149,8.0
2786,96,21,2,14,6,7,145,149,8.0
2797,96,32,2,14,7,4,145,149,8.0
2806,97,9,1,14,0,4,157,157,8.0
2829,97,32,2,14,7,2,157,157,8.0
2838,98,9,1,14,0,7,177,184,8.0
2860,98,31,2,14,6,5,177,184,8.0
2870,99,9,1,14,0,6,206,206,8.0
2893,99,32,2,14,7,3,206,206,8.0
2902,100,9,1,14,0,5,215,215,8.0
2925,100,32,2,14,7,3,215,215,8.0
2934,101,9,1,14,0,4,233,240,8.0
2957,101,32,2,14,7,2,233,240,8.0
2958,102,1,1,14,0,5,241,248,8.0
2967,102,10,2,14,3,1,241,248,8.0
2998,103,9,1,14,0,5,249,263,8.0
3021,103,32,2,14,7,2,249,263,8.0
3030,104,9,1,14,0,4,271,271,8.0
3053,104,32,2,14,7,2,271,271,8.0
3058,105,5,1,14,0,5,299,302,8.0
3074,105,21,2,14,4,7,299,302,8.0
3086,106,1,1,15,0,6,1,5,6.0
3095,106,10,2,15,2,4,1,5,6.0
3118,107,1,1,15,0,6,1,5,6.0
3126,107,9,1,15,0,4,1,5,6.0
3127,107,10,2,15,2,4,1,5,6.0
3148,107,31,2,15,7,2,1,5,6.0
3158,108,9,1,15,0,5,18,18,6.0
3181,108,32,2,15,7,2,18,18,6.0
3190,109,9,1,15,0,4,33,40,6.0
3212,109,31,2,15,7,2,33,40,6.0
3222,110,9,1,15,0,4,46,46,6.0
3245,110,32,2,15,7,2,46,46,6.0
3254,111,9,1,15,0,5,113,120,6.0
3276,111,31,2,15,7,2,113,120,6.0
3283,112,6,1,15,0,5,145,152,6.0
3286,112,9,1,15,0,5,145,152,6.0
3300,112,23,2,15,3,5,145,152,6.0
3308,112,31,2,15,7,3,145,152,6.0
3309,112,32,2,15,7,3,145,152,6.0
3315,113,6,1,15,0,5,145,152,6.0
3318,113,9,1,15,0,5,145,152,6.0
3332,113,23,2,15,3,5,145,152,6.0
3340,113,31,2,15,7,3,145,152,6.0
3341,113,32,2,15,7,3,145,152,6.0
3350,114,9,1,15,0,5,50,55,6.0
3373,114,32,2,15,7,3,50,55,6.0
3382,115,9,1,15,0,5,69,69,6.0
3405,115,32,2,15,7,3,69,69,6.0
3414,116,9,1,15,0,5,81,88,6.0
3436,116,31,2,15,7,3,81,88,6.0
3446,117,9,1,15,0,5,89,93,6.0
3468,117,31,2,15,7,3,89,93,6.0
3475,118,6,1,15,0,5,121,128,6.0
3491,118,22,2,15,3,6,121,128,6.0
3492,118,23,2,15,3,6,121,128,6.0
3507,119,6,1,15,0,5,145,152,6.0
3523,119,22,2,15,3,6,145,152,6.0
3524,119,23,2,15,2,6,145,152,6.0
