annotation_item_id,annotation_id,item,level,pid,suggestion,observation,start_measure,end_measure,score
17426,554,5,1,45,0,4,5,6,8.0
17426,554,5,1,45,0,4,5,6,8.0
17427,554,6,1,45,0,4,5,6,8.0
17427,554,6,1,45,0,4,5,6,8.0
17443,554,22,2,45,3,6,5,6,8.0
17443,554,22,2,45,3,6,5,6,8.0
17454,555,1,1,45,0,4,25,26,8.0
17454,555,1,1,45,0,4,25,26,8.0
17464,555,11,2,45,2,7,25,26,8.0
17464,555,11,2,45,2,7,25,26,8.0
17494,556,9,1,45,0,5,35,36,8.0
17494,556,9,1,45,0,5,35,36,8.0
17517,556,32,2,45,7,3,35,36,8.0
17517,556,32,2,45,7,3,35,36,8.0
17523,557,6,1,45,0,4,53,54,8.0
17523,557,6,1,45,0,4,53,54,8.0
17539,557,22,2,45,2,6,53,54,8.0
17539,557,22,2,45,2,6,53,54,8.0
17540,557,23,2,45,2,6,53,54,8.0
17540,557,23,2,45,2,6,53,54,8.0
17554,558,5,1,46,0,4,5,6,0.0
17554,558,5,1,46,0,4,5,6,0.0
17556,558,7,1,46,0,3,5,6,0.0
17556,558,7,1,46,0,3,5,6,0.0
17557,558,8,1,46,0,4,5,6,0.0
17557,558,8,1,46,0,4,5,6,0.0
17570,558,21,2,46,5,7,5,6,0.0
17570,558,21,2,46,5,7,5,6,0.0
17573,558,24,2,46,6,2,5,6,0.0
17573,558,24,2,46,6,2,5,6,0.0
17574,558,25,2,46,6,2,5,6,0.0
17574,558,25,2,46,6,2,5,6,0.0
17576,558,27,2,46,2,5,5,6,0.0
17576,558,27,2,46,2,5,5,6,0.0
17577,558,28,2,46,6,7,5,6,0.0
17577,558,28,2,46,6,7,5,6,0.0
17578,558,29,2,46,6,7,5,6,0.0
17578,558,29,2,46,6,7,5,6,0.0
17579,558,30,2,46,6,2,5,6,0.0
17579,558,30,2,46,6,2,5,6,0.0
17586,559,5,1,46,0,4,5,6,0.0
17586,559,5,1,46,0,4,5,6,0.0
17588,559,7,1,46,0,3,5,6,0.0
17588,559,7,1,46,0,3,5,6,0.0
17589,559,8,1,46,0,4,5,6,0.0
17589,559,8,1,46,0,4,5,6,0.0
17602,559,21,2,46,5,7,5,6,0.0
17602,559,21,2,46,5,7,5,6,0.0
17605,559,24,2,46,6,2,5,6,0.0
17605,559,24,2,46,6,2,5,6,0.0
17606,559,25,2,46,6,2,5,6,0.0
17606,559,25,2,46,6,2,5,6,0.0
17608,559,27,2,46,2,5,5,6,0.0
17608,559,27,2,46,2,5,5,6,0.0
17609,559,28,2,46,6,7,5,6,0.0
17609,559,28,2,46,6,7,5,6,0.0
17610,559,29,2,46,6,7,5,6,0.0
17610,559,29,2,46,6,7,5,6,0.0
17611,559,30,2,46,6,2,5,6,0.0
17611,559,30,2,46,6,2,5,6,0.0
17622,560,9,1,46,0,3,13,14,0.0
17622,560,9,1,46,0,3,13,14,0.0
17644,560,31,2,46,7,2,13,14,0.0
17644,560,31,2,46,7,2,13,14,0.0
17645,560,32,2,46,7,2,13,14,0.0
17645,560,32,2,46,7,2,13,14,0.0
17646,561,1,1,46,0,3,25,26,0.0
17646,561,1,1,46,0,3,25,26,0.0
17654,561,9,1,46,0,3,25,26,0.0
17654,561,9,1,46,0,3,25,26,0.0
17655,561,10,2,46,6,7,25,26,0.0
17655,561,10,2,46,6,7,25,26,0.0
17656,561,11,2,46,1,6,25,26,0.0
17656,561,11,2,46,1,6,25,26,0.0
17677,561,32,2,46,7,2,25,26,0.0
17677,561,32,2,46,7,2,25,26,0.0
17686,562,9,1,46,0,3,35,36,0.0
17686,562,9,1,46,0,3,35,36,0.0
17709,562,32,2,46,7,2,35,36,0.0
17709,562,32,2,46,7,2,35,36,0.0
17715,563,6,1,46,0,3,37,41,0.0
17715,563,6,1,46,0,3,37,41,0.0
17718,563,9,1,46,0,2,37,41,0.0
17718,563,9,1,46,0,2,37,41,0.0
17731,563,22,2,46,5,1,37,41,0.0
17731,563,22,2,46,5,1,37,41,0.0
17732,563,23,2,46,5,1,37,41,0.0
17732,563,23,2,46,5,1,37,41,0.0
17740,563,31,2,46,7,1,37,41,0.0
17740,563,31,2,46,7,1,37,41,0.0
17750,564,9,1,46,0,3,55,56,0.0
17750,564,9,1,46,0,3,55,56,0.0
17773,564,32,2,46,7,2,55,56,0.0
17773,564,32,2,46,7,2,55,56,0.0
17782,565,9,1,46,0,2,59,60,0.0
17782,565,9,1,46,0,2,59,60,0.0
17805,565,32,2,46,7,1,59,60,0.0
17805,565,32,2,46,7,1,59,60,0.0
17806,566,1,1,46,0,2,79,79,0.0
