annotation_item_id,annotation_id,item,level,pid,suggestion,observation,start_measure,end_measure,score
16696,531,11,2,53,5,7,26,26,8.0
16696,531,11,2,53,5,7,26,26,8.0
16727,532,10,2,54,6,7,17,17,
16727,532,10,2,54,6,7,17,17,
16734,532,17,2,54,6,7,17,17,
16734,532,17,2,54,6,7,17,17,
16741,532,24,2,54,3,1,17,17,
16741,532,24,2,54,3,1,17,17,
16781,533,32,2,54,5,3,31,31,
16781,533,32,2,54,5,3,31,31,
16813,534,32,2,54,5,3,36,36,
16813,534,32,2,54,5,3,36,36,
16831,535,18,2,54,4,1,37,41,
16831,535,18,2,54,4,1,37,41,
16835,535,22,2,54,4,1,37,41,
16835,535,22,2,54,4,1,37,41,
16877,536,32,2,54,5,2,60,60,
16877,536,32,2,54,5,2,60,60,
16887,537,10,2,55,6,7,1,2,
16887,537,10,2,55,6,7,1,2,
16901,537,24,2,55,4,2,1,2,
16901,537,24,2,55,4,2,1,2,
16909,537,32,2,55,5,2,1,2,
16909,537,32,2,55,5,2,1,2,
16941,538,32,2,55,5,3,60,60,
16941,538,32,2,55,5,3,60,60,
16951,539,10,2,57,6,7,2,2,
16951,539,10,2,57,6,7,2,2,
16973,539,32,2,57,5,3,2,2,
16973,539,32,2,57,5,3,2,2,
17005,540,32,2,57,5,3,42,42,
17005,540,32,2,57,5,3,42,42,
17037,541,32,2,57,5,3,60,60,
17037,541,32,2,57,5,3,60,60,
17059,542,22,2,58,4,1,7,7,
17059,542,22,2,58,4,1,7,7,
17087,543,18,2,58,5,2,19,20,
17087,543,18,2,58,5,2,19,20,
17091,543,22,2,58,4,2,19,20,
17091,543,22,2,58,4,2,19,20,
17133,544,32,2,58,5,3,38,38,
17133,544,32,2,58,5,3,38,38,
17150,545,17,2,58,6,7,42,48,
17150,545,17,2,58,6,7,42,48,
17157,545,24,2,58,3,1,42,48,
17157,545,24,2,58,3,1,42,48,
17160,545,27,2,58,6,7,42,48,
17160,545,27,2,58,6,7,42,48,
17178,546,13,2,58,6,7,65,66,
17178,546,13,2,58,6,7,65,66,
17180,546,15,2,58,6,7,65,66,
17180,546,15,2,58,6,7,65,66,
17182,546,17,2,58,6,7,65,66,
17182,546,17,2,58,6,7,65,66,
17189,546,24,2,58,3,1,65,66,
17189,546,24,2,58,3,1,65,66,
17197,546,32,2,58,5,3,65,66,
17197,546,32,2,58,5,3,65,66,
17224,547,27,2,59,7,5,48,48,
17224,547,27,2,59,7,5,48,48,
17229,547,32,2,59,5,3,48,48,
17229,547,32,2,59,5,3,48,48,
17261,548,32,2,60,5,3,2,2,
17261,548,32,2,60,5,3,2,2,
17278,549,17,2,60,6,7,9,9,
17278,549,17,2,60,6,7,9,9,
17293,549,32,2,60,5,3,9,9,
17293,549,32,2,60,5,3,9,9,
17311,550,18,2,60,4,2,37,41,
17311,550,18,2,60,4,2,37,41,
17315,550,22,2,60,3,1,37,41,
17315,550,22,2,60,3,1,37,41,
17342,551,17,2,60,6,7,47,47,
17342,551,17,2,60,6,7,47,47,
17389,552,32,2,60,5,3,55,55,
17389,552,32,2,60,5,3,55,55,
17406,553,17,2,60,6,7,63,66,
17406,553,17,2,60,6,7,63,66,
