measure,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
1,2.865925908088684,3.3247988522052765,4.060037851333618,3.730634033679962,3.1727839410305023,3.8131642937660217,3.9090952277183533,3.463263511657715,4.106455385684967,3.596456229686737,3.2498013079166412,3.4564559459686275,3.426401436328888,3.61601859331131,3.2163857817649837,3.3118830025196075,4.069456040859222,3.258984804153443,3.270798742771149
2,2.6855784058570857,3.384898483753205,4.045680046081543,3.6611835956573486,3.140564620494843,3.8311344981193542,3.8374480605125427,3.2964831590652466,3.9451119899749756,3.4217029809951787,3.2300997972488408,3.483230382204056,3.57316130399704,3.574551522731781,3.2428764998912816,3.307411938905716,4.077143132686615,3.0540741980075836,3.3015959262847905
3,2.962913066148758,3.1834561228752136,4.100944995880127,3.459080338478089,3.5601682662963867,3.7559784054756165,3.851029396057129,2.992036521434784,4.025881111621857,3.534367859363556,3.4136889874935146,3.457447290420532,3.478575944900513,3.515019953250885,3.487797826528549,3.488241970539093,4.2573771476745605,3.1088893711566925,3.23762395977974
4,3.1001266539096832,3.2884078323841095,3.9481544494628906,3.6930856108665475,3.3550169169902797,3.6909422874450684,3.9155898690223694,3.1499018669128414,4.075857222080231,3.680756390094757,3.3648193776607513,3.5693019032478333,3.611738622188568,3.2986112534999847,3.108133763074875,3.5740320682525635,4.090172469615936,2.9947875440120684,3.4798190891742706
5,3.1011866331100464,3.1501154899597164,4.1557497382164,3.734404146671295,3.231103241443634,3.474691092967987,3.900225281715393,3.3738121986389165,4.21802544593811,3.836380362510681,3.5138604640960693,3.52535480260849,3.917097330093384,3.1009525656700134,3.0784608125686646,3.408543676137924,3.8044854402542114,3.1122687458992004,3.4851214885711674
6,3.1632195115089417,3.2161519229412083,3.901382267475128,3.6721463799476624,3.3162278532981873,3.5259017944335938,3.948044717311859,3.1595881283283234,4.145968973636627,3.67939829826355,3.341834455728531,3.4737262427806854,3.6632960438728333,3.338195145130158,3.3793532550334926,3.508896231651306,4.014009177684784,3.0598931312561035,3.3144750595092773
7,3.076454758644104,3.3377368152141567,4.128031313419342,3.8756406903266907,3.3248681128025055,3.500831961631775,4.024070739746094,3.265785902738571,4.061287462711334,3.94687020778656,3.3964395523071285,3.6232483983039856,3.6660948395729065,3.353284150362015,3.282807946205139,3.7064462304115295,4.013622403144836,2.982276827096939,3.4071951806545253
8,2.9437339305877686,3.0805665850639343,4.162895679473877,3.7608011960983276,3.4022023677825923,3.4990618526935573,4.005669951438904,3.455012321472168,4.0786213874816895,3.957555115222931,3.669526994228363,3.5498692989349365,3.6728744506835938,3.4707609713077545,3.2737585902214046,3.9497182369232178,3.9252955317497253,3.071311116218567,3.250980824232102
9,2.7857922315597534,3.1941604316234593,4.106989026069641,3.8086515069007874,3.0645650923252106,3.9137327671051025,3.8826034665107727,3.541400730609894,4.064925730228424,3.561454176902771,3.3112517297267914,3.5319132804870605,3.5252676010131836,3.5585907101631165,3.2997895181179047,3.313462227582932,4.033193528652191,3.4252173304557805,3.2282516658306126
10,2.8156126737594604,3.396744549274445,4.013221859931946,3.6376178860664377,3.2066586315631866,3.8412607312202454,3.8220142126083374,3.32379686832428,3.992610991001129,3.661129355430603,3.1679238080978394,3.339941680431366,3.36594569683075,3.4880878031253815,3.1873708069324493,3.3485852777957916,4.188508749008179,3.05834373831749,3.312881648540497
11,2.7761005461215973,3.301412552595139,3.9879308938980103,3.648241877555847,3.4503211677074432,3.798936665058136,3.978714644908905,3.2130011916160583,3.9219839572906494,3.5421396493911743,3.2101233303546906,3.8152571320533752,3.583514094352722,3.8369707465171814,3.6197015047073364,3.396168977022171,4.123006165027618,3.054078996181488,3.2872103750705723
12,3.0027132928371434,3.48144942522049,3.6976776719093323,3.5690386295318604,3.235359847545624,3.7742331624031067,3.8104902505874634,2.969450682401657,4.217045783996582,3.4686120152473454,3.206710785627365,3.502751648426056,3.6945964097976685,3.464687317609787,3.554384171962738,3.224363684654236,4.197270214557648,2.9972354471683507,3.335944175720215
13,3.134469896554947,3.18974632024765,4.237239837646484,3.6455578207969666,3.233272016048431,3.5316946506500244,4.015334725379944,3.3699242174625397,4.230035066604614,3.9372262954711914,3.3961028456687927,3.467849940061569,3.69230455160141,3.359247863292694,3.252311378717423,3.4724968671798706,3.88740873336792,2.97120201587677,3.445115774869919
14,3.0407108664512634,2.918662428855896,4.1787726283073425,3.5456573367118835,3.3205240964889526,3.5204018354415894,3.7145251035690308,3.530299425125122,4.164876282215118,4.026282489299774,3.748728573322296,3.4982759952545166,3.504459798336029,3.3021854758262634,3.307194352149964,3.9930144548416138,3.8622350096702576,3.1057907938957214,3.2512242794036865
15,3.0975592136383057,3.082326889038086,4.194446802139282,3.755160629749298,3.1564348936080933,3.4604995548725124,4.062186598777771,3.6509947776794434,4.141955614089966,4.0000481605529785,3.411718189716339,3.3984013795852657,3.653736412525177,3.3778737485408783,3.063336133956909,3.6914254426956177,3.86756432056427,3.0789906978607178,3.4157732725143433
16,2.87028369307518,3.2692977488040924,3.9626261591911316,3.60012286901474,3.2324590384960175,3.7228755950927734,3.950413763523102,3.3090391457080837,3.989492177963257,3.530666172504425,3.246254414319992,3.561836361885071,3.5163500905036926,3.7683051228523254,3.3500203490257268,3.131443083286286,3.951179802417755,3.0864520668983464,3.2801034450531006
17,3.1200933158397675,3.0787409842014317,3.932665526866913,3.7235185503959656,3.201576113700867,3.5830851793289185,3.9243417382240295,3.328219115734101,4.057900369167328,3.6217167377471915,3.3088937401771545,3.436488658189774,3.8308741450309745,3.670812487602234,3.2712195217609406,3.422080993652344,3.925909698009491,3.207765758037567,3.2653642892837524
18,3.3439062237739563,3.041842192411423,3.9616661071777344,3.7153220176696777,3.2561084032058716,3.35020038485527,4.017635762691498,3.402715772390366,4.041773080825806,3.9468138813972473,3.486653357744217,3.4984985888004307,4.11959445476532,3.4780742228031154,3.009075880050659,3.9484156370162964,3.7804253101348877,2.783903419971466,3.494517356157303
19,3.2011701464653015,3.019748270511627,4.014391779899597,3.6686891913414,3.2655347287654877,3.3395645022392277,3.975419759750366,3.5309044122695923,4.096324980258942,3.923502266407013,3.497365176677704,3.628532648086548,3.952176570892334,3.514216363430023,3.0859332382678986,3.497305929660797,3.800797939300537,3.0376523435115814,3.4614216387271877
20,2.9879591166973114,3.3729086816310887,3.709648072719574,3.757694900035858,3.3570790886878967,3.4458682537078857,3.934545159339905,3.4131336510181427,4.137359797954559,3.637547791004181,3.1625542342662816,3.6259787678718567,4.036209285259247,3.558052897453308,3.2026340067386627,3.3348343372344966,3.973601460456848,3.068883866071701,3.3087621033191685
21,2.9616667926311493,3.3111269772052765,3.7469878792762756,3.5270808935165405,3.4639429748058315,3.5022067427635193,4.013123393058777,3.266880095005036,4.0944929122924805,3.563397228717804,3.1026669740676884,3.6715484857559204,3.8000452518463135,3.5637986063957214,3.2322351932525635,3.3519166707992554,4.139065861701965,3.0996966958045964,3.2056950330734253
22,3.0347408950328827,3.111625790596008,3.7788777947425842,3.743659198284149,3.2289701402187347,3.379204511642456,4.119690418243408,3.1800122857093807,4.168665587902069,3.6084378957748413,3.3779542744159703,3.7391868829727173,3.8490341901779175,3.3986502587795253,2.9747764468193054,3.564791202545166,4.063792526721954,3.1582696735858917,3.1949133276939388
23,2.819467484951018,3.183934897184372,3.730042815208435,3.4888178557157516,3.2099309861660004,3.446011781692505,3.811517059803009,3.226246133446694,4.529917389154434,3.6448954641819,3.376700907945633,3.6586530804634094,3.8535799384117126,3.233025223016739,3.1267649680376053,3.580850377678871,3.851323753595352,3.121471330523491,3.2844610214233403
24,2.8332621306180954,3.2159271389245987,3.797268360853195,3.621163487434387,3.4067173451185226,3.3985424041748047,3.7366313338279724,3.396284759044647,4.157107830047607,3.8372075259685516,3.170780599117279,3.6731028854846954,3.625347912311554,3.608466476202011,3.0968771427869797,3.5670129656791687,4.0713953375816345,3.0774911642074585,3.522087872028351
25,2.7193721532821655,3.2314245104789734,3.8561156690120697,3.5461306869983673,3.198660597205162,3.6045100688934326,4.046157985925674,3.430026561021805,4.130621492862701,3.2867405712604527,3.2864837646484375,3.7634414434432983,3.7857629656791687,3.581427305936813,3.2595520317554474,3.2101756930351257,4.06433367729187,2.9944531321525574,3.362709015607834
26,2.843300849199295,3.429553523659706,3.921648919582367,3.687626540660858,3.462658941745758,3.7487909495830536,4.011062473058701,3.444552406668663,4.140491753816605,3.864711284637451,3.1645584106445312,3.445635959506035,3.745453715324402,3.411518543958664,3.467181220650673,3.4135655909776688,3.8881570398807526,2.9811408072710037,3.4729387164115906
27,3.0478256195783615,3.191358506679535,4.209740459918976,3.5498570948839188,3.382363587617874,3.403882145881653,4.21762615442276,3.30304017663002,4.1060343980789185,4.058420658111572,3.46727092564106,3.5030723959207535,3.740533083677292,3.4806712865829468,3.1006448566913605,3.6187303960323334,3.9176729023456573,3.009364813566208,3.5153796076774597
28,2.9213051795959473,3.0751244127750397,4.152512431144714,3.683984935283661,3.4321402609348293,3.431945413351059,3.860553562641144,3.3798706233501434,3.981605648994446,3.954730451107025,3.5788702964782715,3.532477378845215,3.709275484085083,3.586705505847931,3.5781872868537903,3.92376971244812,3.8699362874031067,3.0215530097484593,3.465515941381455
29,2.9126290380954742,3.2637322843074803,4.057727634906769,3.6300714015960693,3.476468086242676,3.732585847377777,3.90224552154541,3.4637639820575714,4.192483305931091,3.5397121906280518,3.437626034021378,3.478586792945862,3.5287469029426575,3.46584889292717,3.4123665690422054,3.6168071627616873,4.013468444347382,3.2225437164306636,3.201907604932785
