pid,measure,feature,feature_value
76,1,1,0.031877924426786164
76,1,2,0.2796032411022935
76,1,3,-0.263643023270158
76,1,4,-0.8379667102849676
76,1,5,0.9280751613861324
76,1,6,0.0717174065488182
76,1,7,-0.29143313162636775
76,1,8,-0.6782868161075838
76,1,9,0.7274600769187702
76,1,10,0.9281812496975343
76,1,11,0.10222263552591992
76,1,12,-0.9304300751822622
76,1,13,-0.24469449318159608
76,1,14,0.6075654820138561
76,1,15,0.11478242881502765
76,1,16,-0.6856437273625289
76,1,17,-0.029646464023441954
76,1,18,-0.4448833265802461
76,1,19,-0.3697105535095968
76,2,1,0.08902479410991626
76,2,2,0.20748748148436347
76,2,3,-0.2275808733592133
76,2,4,-0.8165667620955384
76,2,5,0.9374344657960088
76,2,6,0.045488162802856946
76,2,7,-0.32107494598320974
76,2,8,-0.6561344759493624
76,2,9,0.7185266440129849
76,2,10,0.9334304386153862
76,2,11,0.07140445551929653
76,2,12,-0.9042222768373537
76,2,13,-0.23275927347536007
76,2,14,0.6025719298678451
76,2,15,0.09622114953043104
76,2,16,-0.6995866541283821
76,2,17,-0.07257313498551488
76,2,18,-0.4442916802281942
76,2,19,-0.35026868430566704
76,3,1,0.10651266464801545
76,3,2,0.2138846635966214
76,3,3,-0.24254615743011976
76,3,4,-0.8230931859610432
76,3,5,0.9398029490273183
76,3,6,0.057108533656469396
76,3,7,-0.3639434486672063
76,3,8,-0.672675996997644
76,3,9,0.7513310856781727
76,3,10,0.9245019400496661
76,3,11,0.10001603660521208
76,3,12,-0.9201003189291723
76,3,13,-0.20457470258739707
76,3,14,0.6040249032347447
76,3,15,0.09946358030021663
76,3,16,-0.6801472520944851
76,3,17,-0.054868153484545545
76,3,18,-0.4196313668406656
76,3,19,-0.2627621486773595
76,4,1,0.042904845996399876
76,4,2,0.2178725592808768
76,4,3,-0.22849941974058652
76,4,4,-0.821203333716061
76,4,5,0.9389126802101648
76,4,6,0.09008150201311582
76,4,7,-0.32306168209755004
76,4,8,-0.6700923006265662
76,4,9,0.7165677110070894
76,4,10,0.9180178376393358
76,4,11,0.09477500832669894
76,4,12,-0.9066296654422544
76,4,13,-0.19529985130555993
76,4,14,0.6316167839679496
76,4,15,0.13425523253552019
76,4,16,-0.7056267608239968
76,4,17,-0.04917544330775381
76,4,18,-0.41000361535300933
76,4,19,-0.3439315682945877
76,5,1,0.04194606576526394
76,5,2,0.19859086634675704
76,5,3,-0.20430578105384223
76,5,4,-0.808161018903267
76,5,5,0.9283307981579729
76,5,6,0.11495342267651898
76,5,7,-0.32597493545029155
76,5,8,-0.655054519713163
76,5,9,0.7365662117268388
76,5,10,0.9202510060834723
76,5,11,0.08509914702340682
76,5,12,-0.8999702041772984
76,5,13,-0.18946727156615006
76,5,14,0.6078712213155899
76,5,15,0.11884642720567373
76,5,16,-0.6872009861088838
76,5,17,-0.06581365844308285
76,5,18,-0.41322175398708916
76,5,19,-0.3524139835401804
76,6,1,0.04132661630476764
76,6,2,0.22422817906720094
76,6,3,-0.21275356102782306
76,6,4,-0.8341681224551378
76,6,5,0.9390838638539662
76,6,6,0.1237764022777672
76,6,7,-0.3455724261485863
76,6,8,-0.660805967514962
76,6,9,0.7385340645013139
76,6,10,0.9182861898259602
