measure,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
1,4.3662810921669015,2.036594564798566,5.320219213063798,2.1532571017742157,6.09160053730011,2.3615008826109003,3.3914680182933807,4.248815358203513,5.61280369758606,6.05161839723587,1.0192528672683376,2.024493306875229,6.949165318852347,5.266942977905273,4.206663370132446,2.4900363385677338,3.9418517351150513,1.3358392548592928,3.18025866150856
2,4.523841857910156,1.6580889971214539,3.59572982788086,2.177172034978867,6.1313536167144775,3.267371643748715,3.3546847999095912,1.7500364044771215,5.642640829086304,6.045648634433746,4.142524302005768,2.070883512496948,4.557317934112363,5.269028306007384,4.101861655712128,2.4403577148914337,3.846864581108093,4.719305470745555,3.315236091613769
3,4.545950174331665,4.5470508337020865,5.426431462537668,2.1854474246501927,6.111025214195252,4.214937090873718,3.3063154518604283,2.6736111342906947,5.63129460811615,1.3609738912309508,2.983130900671353,2.032800614833832,4.747830154789584,5.27264279127121,4.101943850517273,2.4952027201652527,3.9045995473861694,2.4480635469033567,3.365300238132477
4,4.325357258319855,6.7610675355029635,4.782455831705354,2.1838696599006653,6.113720536231995,2.84126096893805,3.396685928106308,1.1053136916110087,5.6181238293647775,2.3634365916358124,1.6380060989774528,2.061765730381012,3.2432841360569,5.328183114528656,4.223761141300201,2.4698032736778264,3.9265288710594177,2.587962470556191,3.22911074757576
5,4.378893196582794,6.382814628818955,4.692914742048828,2.160931259393692,6.095339775085449,2.6861222122011505,3.415927857160568,2.6993719041347504,5.630969583988191,6.028332233428955,4.355496229174189,2.0739551782608032,1.6039418100482576,5.292089998722076,4.182300329208373,2.4866895079612727,3.898122012615204,3.193758444938471,3.1859803795814514
6,4.224820077419281,4.62644726037979,3.636152148246765,2.2199456691741943,6.100026965141296,5.9542727720369335,3.4393588006496434,2.7156700491905217,3.315573680179634,6.030881524085999,4.188094437122345,2.057361215353012,3.4825131773077627,5.314956426620483,4.528508478022294,2.4742607772350307,3.97098833322525,3.174858003854752,3.055506974458695
7,4.083863496780396,4.6812958121299735,3.621284067630768,2.121389716863632,6.119306027889253,1.6476147560241938,3.4757675528526306,1.2076269783464273,5.509166061878204,6.027450203895569,4.145778715610504,2.1144242286682133,1.6911662339556985,5.333160698413849,1.8592120167729667,2.479479104280472,3.97450977563858,2.3606675195157267,2.830684155225754
8,4.0258623361587516,4.794283628463745,3.593145489692688,2.1907564997673035,6.094600856304169,2.3192474304086996,3.526375770568848,4.330588445090748,4.725000245226184,6.055747747421265,4.137775361537933,2.0808447301387787,3.8620654438027735,5.242738902568816,3.973984580201571,2.4997265636920925,4.06067830324173,1.2786125980652823,2.789061039686203
9,3.9968358874320975,4.675792932510376,3.6141064167022714,2.148656904697418,6.122580468654633,4.3883602023124695,3.5172237753868103,1.8365747943230288,5.47055626860139,6.040525436401367,4.106694042682648,2.110973298549652,3.147976130247116,5.301485240459441,1.6582915544520505,2.4801963269710545,4.011632204055786,6.889421601893024,2.743798404932022
10,4.118689060211182,4.598667502403258,3.666615545749664,2.12155681848526,6.129190683364867,1.1533232868300027,3.4569910466670994,3.933059357584246,5.559714198112488,6.069049954414368,4.1299163699150085,2.089711755514145,2.554366836296902,5.3143476843833914,3.9732909860104444,2.458781450986862,3.955294549465179,1.1093437005210278,2.942730695009232
11,4.017382085323335,4.616530895233153,3.650822877883911,2.1284958124160767,6.130306363105774,4.369723677635194,3.4988822340965267,2.777250647544861,5.535724580287933,6.040493309497832,4.12626725435257,2.0914007127285004,3.210469424724579,5.303751647472382,4.252311110496522,2.444399446249008,3.9714268445968632,3.223293274641037,2.8452090620994563
12,4.012669444084168,4.621316134929657,3.640669107437134,2.108562111854553,6.150303483009338,4.3833279609680185,3.506555140018463,2.7671283781528477,5.532740116119385,6.034472227096559,2.4854459377620293,2.1099381446838383,3.1856468021869664,5.308407962322235,4.29445868730545,2.4440116286277767,3.986818552017212,3.2755620777606964,2.818249374628067
13,3.9831969738006587,4.6488760113716125,3.666144907474518,2.1263695955276494,6.124521851539612,4.387338817119598,3.5223644971847534,2.7873282730579376,5.543617367744446,6.062362551689148,6.269107630557841,2.0737914144992833,3.187779486179352,5.309713065624237,4.29218977689743,2.4675769209861755,3.979972183704376,3.2394587397575383,2.79778265953064
14,4.098050236701964,4.678893804550171,3.615383565425873,2.1253344416618347,6.138166606426238,4.365650236606598,3.4348249435424805,2.7198286056518555,5.538898050785066,6.031145215034485,1.0654418035696054,2.07072913646698,3.137814432382584,5.316656649112701,4.230841994285584,2.486122071743011,3.994158923625946,3.244878590106964,2.923039823770523
15,4.031737804412842,4.6416215896606445,3.626663446426392,2.128013908863068,6.141060531139374,4.3677714467048645,3.4800471067428598,2.7540354132652283,5.516465544700623,6.051883339881897,4.238105579250818,2.1056135296821594,3.1631569266319275,5.320559024810791,4.2528969049453735,2.4707781374454503,3.990029990673065,3.2566762566566467,2.836724638938904
16,1.6429817940397218,4.636964440345763,3.6800984144210815,2.113361537456513,6.134525835514069,4.367802321910858,3.4815756380558014,2.7537606656551357,5.545561671257019,6.064376533031464,4.164572641694711,2.0882618725299835,3.1616799235343933,5.315815508365631,4.245066702365875,2.4672397971153264,3.978823959827423,3.2121391892433167,2.8600788116455083
17,4.067733705043793,4.634670913219452,3.6403870582580566,2.1464929282665253,6.130499541759491,4.3518385887146005,3.4591391682624817,2.747587084770202,5.526290535926819,6.0495651960372925,2.0816626775232443,2.0898300409317017,3.1338576078414917,5.307897686958314,4.2293787598609915,2.470714300870895,3.976346433162689,3.2119241058826447,2.8647107183933262
18,6.456543135217801,4.523782193660736,3.624973237514496,2.1678076684474945,6.137864947319031,4.239645600318909,3.458188086748124,2.790189653635025,5.585474133491516,6.0973671078681955,4.476257632673727,2.0954712331295013,3.2240069508552547,5.299087405204774,4.15735524892807,2.431249737739563,3.913152813911438,3.1467897295951843,3.057770252227783
19,3.922716760563623,4.58498603105545,3.6650613546371464,2.1261113286018367,6.123830080032349,4.341740310192108,3.4835312068462376,2.776497542858124,5.586941957473755,6.0590935349464425,5.214910833762806,2.0686171054840092,3.227771431207657,5.305716812610626,4.211937606334686,2.444348126649857,3.949141204357147,3.191605508327484,2.930356830358505
20,4.034125208854674,4.603556215763092,3.6383634805679317,2.1197470724582668,6.130375623703003,4.357562601566315,3.5278494358062744,2.7886970043182377,5.545150697231293,6.0412017703056335,2.978610272913418,2.0930091440677643,3.2065555751323704,5.3037808537483215,4.256388306617737,2.439444184303284,3.96190309524536,3.223376095294953,2.863433361053467
21,4.026611685752869,4.623744010925293,3.650530815124512,2.160019814968109,6.1275238394737235,4.369953572750092,3.5081281065940857,2.774677991867065,5.555197656154633,6.078572452068329,1.4094474839717501,2.0871906280517583,3.2232290208339687,5.3153056502342215,4.2585721015930185,2.4611187875270844,3.973719537258148,3.2399306297302246,2.85300463438034
