pid,measure,feature,feature_value
64,1,1,0.5729313492774963
64,1,2,0.6684098243713379
64,1,3,0.4956360161304474
64,1,4,0.3096641302108765
64,1,5,0.873896598815918
64,1,6,0.6087192893028259
64,1,7,0.4912729263305664
64,1,8,0.3730838298797608
64,1,9,0.8030944466590881
64,1,10,0.8715585470199585
64,1,11,0.6191335916519165
64,1,12,0.2962721884250641
64,1,13,0.5281946063041687
64,1,14,0.7754916548728943
64,1,15,0.6219810843467712
64,1,16,0.36917978525161743
64,1,17,0.5802845358848572
64,1,18,0.4435470700263977
64,1,19,0.4501657485961914
64,2,1,0.5904965400695801
64,2,2,0.6556239128112793
64,2,3,0.5085780024528503
64,2,4,0.3184177875518799
64,2,5,0.8751302361488342
64,2,6,0.6001255512237549
64,2,7,0.4864206314086914
64,2,8,0.37022697925567627
64,2,9,0.8087661266326904
64,2,10,0.8755736947059631
64,2,11,0.6186212301254272
64,2,12,0.3029983639717102
64,2,13,0.5249320864677429
64,2,14,0.7822647094726562
64,2,15,0.614139199256897
64,2,16,0.3652461469173432
64,2,17,0.5730159282684326
64,2,18,0.4432511031627655
64,2,19,0.4585815370082855
64,3,1,0.590832531452179
64,3,2,0.6542649269104004
64,3,3,0.5037954449653625
64,3,4,0.3241487145423889
64,3,5,0.871032178401947
64,3,6,0.6055611968040466
64,3,7,0.4781956672668457
64,3,8,0.3680628836154938
64,3,9,0.8144659399986267
64,3,10,0.8732969164848328
64,3,11,0.6222723126411438
64,3,12,0.29728183150291443
64,3,13,0.5397782921791077
64,3,14,0.777342677116394
64,3,15,0.6177057027816772
64,3,16,0.3660208284854889
64,3,17,0.5675780177116394
64,3,18,0.4429009556770325
64,3,19,0.4775780141353607
64,4,1,0.5455390214920044
64,4,2,0.6681815981864929
64,4,3,0.5079608559608461
64,4,4,0.3118029236793518
64,4,5,0.8752613663673401
64,4,6,0.6257551312446594
64,4,7,0.4983629584312439
64,4,8,0.37521564960479736
64,4,9,0.8015145659446716
64,4,10,0.8715054988861084
64,4,11,0.6161624193191528
64,4,12,0.2987804114818573
64,4,13,0.5334526300430298
64,4,14,0.7783462405204773
64,4,15,0.6335129141807556
64,4,16,0.3618109226226807
64,4,17,0.5755823850631714
64,4,18,0.458439975976944
64,4,19,0.4188001751899719
64,5,1,0.5432289242744446
64,5,2,0.6781384348869324
64,5,3,0.4985655546188354
64,5,4,0.3120535612106323
64,5,5,0.8777003288269043
64,5,6,0.6282719373703003
64,5,7,0.5014671087265015
64,5,8,0.378942608833313
64,5,9,0.8024218678474426
64,5,10,0.8734502792358398
64,5,11,0.6209449172019958
64,5,12,0.3007429838180542
64,5,13,0.5432735681533813
64,5,14,0.7747034430503845
64,5,15,0.6318367123603821
64,5,16,0.3609230518341065
64,5,17,0.572919487953186
64,5,18,0.4554528892040253
64,5,19,0.42894595861434937
64,6,1,0.5398763418197632
64,6,2,0.671557605266571
64,6,3,0.5049173831939697
64,6,4,0.3092562556266785
64,6,5,0.881844162940979
64,6,6,0.623077392578125
64,6,7,0.4954937398433685
64,6,8,0.38471660017967213
64,6,9,0.7986114025115967
64,6,10,0.8757744431495667
64,6,11,0.6156895160675049
64,6,12,0.306287944316864
64,6,13,0.5396185517311096
64,6,14,0.7759770154953003
64,6,15,0.6206532716751099
64,6,16,0.3534106612205505
64,6,17,0.5729846954345703
64,6,18,0.4638512134552002
64,6,19,0.4235588312149048
64,7,1,0.5285889506340027
64,7,2,0.6681855320930481
64,7,3,0.5025729537010193
64,7,4,0.3002065420150757
64,7,5,0.8782278299331665
64,7,6,0.6236526966094971
64,7,7,0.4944773316383362
64,7,8,0.3803839087486267
64,7,9,0.7893046140670776
64,7,10,0.8715690374374391
64,7,11,0.6180501580238342
64,7,12,0.3134749233722687
64,7,13,0.5227411389350891
64,7,14,0.7834025621414185
64,7,15,0.6261729001998901
64,7,16,0.36693331599235535
64,7,17,0.5777082443237305
64,7,18,0.4647799134254456
64,7,19,0.3931589722633362
64,8,1,0.5231120586395264
64,8,2,0.6733384132385254
64,8,3,0.5018804073333739
64,8,4,0.3044397234916687
64,8,5,0.8777267336845398
64,8,6,0.6250837445259094
64,8,7,0.508447527885437
64,8,8,0.3860915899276733
64,8,9,0.7897864580154419
64,8,10,0.8733113408088684
64,8,11,0.6204766035079956
64,8,12,0.3049980700016022
64,8,13,0.5129692554473877
64,8,14,0.7790773510932922
64,8,15,0.6306977272033691
64,8,16,0.36084130406379705
64,8,17,0.582149863243103
64,8,18,0.4636982977390289
64,8,19,0.39063629508018494
64,9,1,0.5140947699546814
64,9,2,0.672783613204956
64,9,3,0.5098536014556885
64,9,4,0.30501124262809753
64,9,5,0.8771461248397827
64,9,6,0.6268227100372314
64,9,7,0.5066447257995605
64,9,8,0.39175310730934143
64,9,9,0.7871763110160828
64,9,10,0.8729768395423889
64,9,11,0.6119422316551208
64,9,12,0.3060651421546936
64,9,13,0.5162123441696167
64,9,14,0.7787268757820129
64,9,15,0.6318541169166565
64,9,16,0.3630805611610413
64,9,17,0.5860482454299927
64,9,18,0.4681020677089691
64,9,19,0.3752829134464264
64,10,1,0.5309801697731018
64,10,2,0.662213921546936
64,10,3,0.5105046033859253
64,10,4,0.30536311864852905
64,10,5,0.8793666958808899
64,10,6,0.6152871251106262
64,10,7,0.4992404878139496
64,10,8,0.3908590078353882
64,10,9,0.7971096038818359
64,10,10,0.8745267987251282
64,10,11,0.6174253821372986
64,10,12,0.30448615550994873
64,10,13,0.5221014022827148
64,10,14,0.7823612689971924
