measure,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
1,3.89205002784729,4.220299363136292,3.690670669078827,2.2986953854560848,5.999371290206909,4.377355694770813,3.5121564865112305,2.80036261677742,5.53349071741104,6.24569034576416,4.303921937942505,2.138404041528702,3.4941702187061314,5.291244268417358,4.730856776237489,2.4997457563877106,4.0697234869003305,2.497765619936515,2.765958040952683
2,3.79335743188858,4.219002187252045,3.7159503698349,2.2954267859458923,5.9921531677246085,4.420586824417113,3.532770276069641,2.8239283263683315,5.528023302555084,6.24255234003067,4.292282402515411,2.1422121226787567,5.062856949107074,5.283519208431244,4.7517234086990365,2.5053959190845485,4.0816237926483145,3.7541195385897037,2.7054211497306824
3,3.869004189968109,4.23609495162964,3.696803152561188,2.2571941018104558,6.015080511569978,4.425954520702362,3.482639998197555,2.775424838066101,5.541431486606598,6.226988732814789,4.3138625025749215,2.1326093077659607,3.3476673336703793,5.3074095249176025,4.756769835948943,2.4991163611412053,4.085687220096588,2.9345685725068273,2.737123519182205
4,3.9077671766281132,4.248290657997131,3.673989713191986,2.290841817855835,5.9942230582237235,4.384728193283081,3.5381358861923218,2.812940925359726,5.533476114273071,6.238037467002869,4.290402352809906,2.1601295471191406,3.8077560812301448,5.286413550376891,4.7582130432128915,2.511039823293686,4.070136547088623,3.1498728692531586,2.773063719272614
5,4.101604223251344,4.113594651222228,3.6679803133010864,2.32074049115181,5.989315986633301,4.3490965366363525,3.4630200564861298,2.7708559334278107,5.6009196639060965,6.253820538520813,4.319569408893585,2.1810089051723485,2.783961118820076,5.28712034225464,4.679305613040924,2.5088165998458862,4.001896917819977,2.882357545538019,2.9879075884819035
6,4.0097429752349845,4.147703409194946,3.6896764039993286,2.3090483844280243,6.001207113265991,4.385533034801483,3.4575728774070744,2.7864395678043365,5.578400790691376,6.231368005275726,4.31427389383316,2.1513643264770512,3.510858476161957,5.3227991461753845,4.735000312328339,2.497473925352097,4.047437012195587,3.0943721830844884,2.87282943725586
7,3.968231678009033,4.212920188903809,3.689243316650391,2.2941813468933105,6.009018540382385,4.387013792991638,3.4949145615100865,2.7633638978004456,5.560912489891051,6.2464046478271475,4.3242724537849435,2.1657292246818542,3.4918729364871983,5.316573202610017,4.751182675361632,2.5030133128166203,4.0457029938697815,6.696554970563117,2.8220954239368443
8,3.9435452818870544,4.143906593322754,3.709786176681519,2.282989501953125,4.122995257479266,4.374513506889343,3.472829610109329,2.7877795100212097,5.576138973236084,6.253916501998901,4.3056355118751535,2.153912365436554,3.484361708164215,5.299296855926515,4.728294134140015,2.510533928871155,4.031132400035858,3.366511527470796,2.8278503119945526
9,3.9128782749176025,4.1749849915504464,3.7127435207366943,2.2995338141918182,4.712560935179477,4.39782053232193,3.473037391901016,2.7939643561840057,5.54593551158905,6.237238466739655,4.3292529582977295,2.139372229576111,3.4769710600376134,5.300334513187408,4.744970500469208,2.501360863447189,4.072771370410919,1.4168596666199036,2.788942128419876
10,3.855667352676392,4.1816073060035714,3.70914489030838,2.3034297227859497,6.000435650348662,4.398181855678558,3.5203179717063904,2.833713680505753,5.522567570209503,6.237742066383362,4.294194996356964,2.134510219097137,3.4733169376850124,5.2955050468444815,4.761447846889496,2.4863398671150208,4.070341408252716,2.4327329559342052,2.730134040117264
