pid,measure,feature,feature_value
60,1,1,0.0691728444174391
60,1,2,0.004050595161667392
60,1,3,-0.24294625278596693
60,1,4,-0.9248685105056241
60,1,5,0.895101064209451
60,1,6,0.04044371424113846
60,1,7,-0.4226802433883716
60,1,8,-0.6806173590024176
60,1,9,0.6873480356260049
60,1,10,0.9742377995248204
60,1,11,0.04246292716235267
60,1,12,-0.9909959952012152
60,1,13,-0.3871279497622686
60,1,14,0.5176658033735042
60,1,15,0.14265506829546126
60,1,16,-0.8044038729827057
60,1,17,-0.08546493033164082
60,1,18,-0.5023860061372112
60,1,19,-0.4678542465236848
60,2,1,0.04613518067241906
60,2,2,0.0001701221158900701
60,2,3,-0.23506569967103597
60,2,4,-0.9243381268695736
60,2,5,0.8961135515701228
60,2,6,0.05350531776898926
60,2,7,-0.4289297103597711
60,2,8,-0.6800535966621699
60,2,9,0.6901993319590116
60,2,10,0.9723922353385408
60,2,11,0.037817922844231244
60,2,12,-0.9953553930474045
60,2,13,-0.38182093447755383
60,2,14,0.5291075463339379
60,2,15,0.14330019122719206
60,2,16,-0.8051417807647965
60,2,17,-0.08947593795276387
60,2,18,-0.5148030827816203
60,2,19,-0.4752889555182571
60,3,1,0.06761835047907638
60,3,2,0.008087034176465169
60,3,3,-0.24934264566066666
60,3,4,-0.9354430032052
60,3,5,0.9006228555610585
60,3,6,0.0544419083141634
60,3,7,-0.4273616066521375
60,3,8,-0.6932538807586521
60,3,9,0.6889351135375132
60,3,10,0.9675308654914216
60,3,11,0.04709680524574145
60,3,12,-0.9938490796790896
60,3,13,-0.39044684597819146
60,3,14,0.525025211600868
60,3,15,0.15459868391544318
60,3,16,-0.8052947664923708
60,3,17,-0.0824695889953988
60,3,18,-0.5043408458431866
60,3,19,-0.46871573498441343
60,4,1,0.09555672325830589
60,4,2,0.0048624129316252596
60,4,3,-0.24978014510497581
60,4,4,-0.9249160950273825
60,4,5,0.8945217052723005
60,4,6,0.044588037996290186
60,4,7,-0.41050565905630554
60,4,8,-0.6872763111485317
60,4,9,0.6921005273189544
60,4,10,0.9737961277424865
60,4,11,0.04229245735162723
60,4,12,-0.9812495129167884
60,4,13,-0.37341407072321553
60,4,14,0.5169805465236303
60,4,15,0.13413296853853485
60,4,16,-0.8046686177645139
60,4,17,-0.10388282246945091
60,4,18,-0.5167961689194893
60,4,19,-0.44563157947283205
60,5,1,0.13686525389645454
60,5,2,-0.016039808475776907
60,5,3,-0.25470111978101984
60,5,4,-0.9048657259666995
60,5,5,0.8910640291463641
60,5,6,0.03483887349456216
60,5,7,-0.4415129851354992
60,5,8,-0.6912057594954093
60,5,9,0.709944027588691
60,5,10,0.9784272242671921
60,5,11,0.05294264818393768
60,5,12,-0.9724366409360898
60,5,13,-0.36037819661318404
60,5,14,0.5225643268973199
60,5,15,0.12474143301035623
60,5,16,-0.7982055668227996
60,5,17,-0.11446943481757466
60,5,18,-0.5525899614441196
60,5,19,-0.38089288729119253
60,6,1,0.14202146896398915
60,6,2,-0.034458892710165556
60,6,3,-0.24871083447406217
60,6,4,-0.9190504831542597
60,6,5,0.8994410904862398
60,6,6,0.02989663976286816
60,6,7,-0.4468837775871637
60,6,8,-0.6908205136177911
60,6,9,0.7054837982402369
60,6,10,0.9680710839242448
60,6,11,0.0499635988342686
60,6,12,-0.9882426494704086
60,6,13,-0.3836373916390421
60,6,14,0.5360097855234474
60,6,15,0.12324217288013073
60,6,16,-0.8069885370476546
60,6,17,-0.1091769233745652
60,6,18,-0.5406581674485411
60,6,19,-0.38919425049833367
60,7,1,0.1240732628781076
60,7,2,-0.019049653653723908
60,7,3,-0.24064928136196273
60,7,4,-0.9188070967694828
60,7,5,0.8948614527971728
60,7,6,0.02985412165156842
60,7,7,-0.4245022636672259
60,7,8,-0.6936437956812029
60,7,9,0.6993580112888567
60,7,10,0.9722537534526718
60,7,11,0.04268882946397823
60,7,12,-0.978273443808566
60,7,13,-0.3897122164616914
60,7,14,0.5275226539328235
60,7,15,0.13310458655681634
60,7,16,-0.8029764366713346
60,7,17,-0.11048723619709866
60,7,18,-0.5268634245249135
60,7,19,-0.41531080168147205
60,8,1,0.09203507128265676
60,8,2,-0.009860178495600946
60,8,3,-0.24040589497718545
60,8,4,-0.9214583195600645
60,8,5,0.9006387501821052
60,8,6,0.041295864612002076
60,8,7,-0.4507326600736108
60,8,8,-0.6914954389639845
60,8,9,0.7035692911351674
60,8,10,0.9751940596635398
60,8,11,0.043652440864931696
60,8,12,-0.986897467822954
60,8,13,-0.3939055155179434
60,8,14,0.5287985946373437
60,8,15,0.1369147259044623
60,8,16,-0.7993300119204693
60,8,17,-0.09780750093989365
60,8,18,-0.5234234311648914
60,8,19,-0.4255117707864514
60,9,1,0.10036881978018042
60,9,2,0.0010465117838498461
60,9,3,-0.2468920924607988
60,9,4,-0.9169738509145144
60,9,5,0.8951787491698164
60,9,6,0.03865358254575901
60,9,7,-0.4380086185602384
60,9,8,-0.6857440696796344
60,9,9,0.693587469117869
60,9,10,0.9701709620472709
60,9,11,0.04733144958894275
60,9,12,-0.9886574990797263
60,9,13,-0.3928449469286054
60,9,14,0.527280062279099
60,9,15,0.13499962275110367
60,9,16,-0.8022373367926652
60,9,17,-0.0954590706802505
60,9,18,-0.5164062539969383
60,9,19,-0.43067722460246927
60,10,1,0.06542409804358584
60,10,2,-0.0022391050692566195
60,10,3,-0.24144699265574132
60,10,4,-0.9154908827708618
60,10,5,0.8998917029929125
60,10,6,0.047474501178362605
60,10,7,-0.4188586797818483
60,10,8,-0.6757129743370912
60,10,9,0.6816859742436607
60,10,10,0.9721760684923062
60,10,11,0.03478185154155722
60,10,12,-0.9926935407289978
60,10,13,-0.3898326182161198
60,10,14,0.5276967000332844
60,10,15,0.14720828117703832
60,10,16,-0.8129146478221362
60,10,17,-0.090885592156839
60,10,18,-0.5056250318823745
60,10,19,-0.47177733702214375
60,11,1,0.054719666816953616
60,11,2,-0.006906361856843457
60,11,3,-0.23376591703494587
60,11,4,-0.9307372019615751
60,11,5,0.8952441157988709
60,11,6,0.0579403144065318
60,11,7,-0.41461094164851164
60,11,8,-0.6854046201789068
60,11,9,0.6891075701758695
60,11,10,0.9740136853680625
60,11,11,0.0380660776153221
60,11,12,-0.9820690793145067
60,11,13,-0.373073131101765
60,11,14,0.5237609931793699
60,11,15,0.15405111422038598
60,11,16,-0.802811629319357
60,11,17,-0.0914752825976698
60,11,18,-0.4964141983272202
60,11,19,-0.47756744944529494
60,12,1,0.06028477101091334
60,12,2,-0.010066013838155086
60,12,3,-0.24138182470945002
60,12,4,-0.9148616544601772
60,12,5,0.8924804385643839
60,12,6,0.05880736598462688
60,12,7,-0.41393432749883186
60,12,8,-0.67369137722272
60,12,9,0.6918108478503793
60,12,10,0.9730610015190788
60,12,11,0.046725467161539136
60,12,12,-0.9850832955132416
60,12,13,-0.37999454317791215
60,12,14,0.5246950008486237
60,12,15,0.15476180246393456
60,12,16,-0.8099208959479991
60,12,17,-0.08716068771455565
60,12,18,-0.510821976916341
60,12,19,-0.4734671339221661
60,13,1,0.09216600322352853
60,13,2,0.006576647811506797
60,13,3,-0.25215619226868746
60,13,4,-0.9196193119049668
60,13,5,0.8930144978315515
60,13,6,0.03080084501765956
60,13,7,-0.4194073422321025
60,13,8,-0.6842863342468932
60,13,9,0.6866925811905935
60,13,10,0.9717298270064214
60,13,11,0.04038987121234294
60,13,12,-0.9804349135881474
60,13,13,-0.3892730282138961
60,13,14,0.5240860381797738
60,13,15,0.1399782154284417
60,13,16,-0.7945306310954318
60,13,17,-0.08839132874909283
60,13,18,-0.508733821076337
60,13,19,-0.4497186825922158
60,14,1,0.09974972429041329
60,14,2,-0.03438994979137566
60,14,3,-0.23905306404335214
60,14,4,-0.9156972148203235
60,14,5,0.8967382101772563
60,14,6,0.019324928621975657
60,14,7,-0.43623467951005024
60,14,8,-0.6789096806537179
60,14,9,0.6973533022093474
60,14,10,0.9802322571698028
60,14,11,0.035909376222054146
60,14,12,-0.9874921253328619
60,14,13,-0.3854560343109237
60,14,14,0.521638266538589
