pid,measure,feature,feature_value
54,1,1,0.5689681172370911
54,1,2,0.6307870149612427
54,1,3,0.529718816280365
54,1,4,0.3097383677959442
54,1,5,0.8689044117927551
54,1,6,0.6272189617156982
54,1,7,0.4906537532806397
54,1,8,0.3923070430755615
54,1,9,0.8015105724334717
54,1,10,0.8889386057853699
54,1,11,0.6219012141227722
54,1,12,0.3070442974567413
54,1,13,0.4963228106498718
54,1,14,0.7585411667823792
54,1,15,0.6631073951721191
54,1,16,0.34695106744766235
54,1,17,0.579531729221344
54,1,18,0.4575877189636231
54,1,19,0.41158580780029297
54,2,1,0.5471181273460388
54,2,2,0.6397719979286194
54,2,3,0.5335348844528198
54,2,4,0.31214484572410583
54,2,5,0.8663725256919861
54,2,6,0.6358229517936707
54,2,7,0.4963844418525696
54,2,8,0.3974322974681854
54,2,9,0.7991288900375366
54,2,10,0.8890637159347534
54,2,11,0.6199245452880859
54,2,12,0.3049817085266113
54,2,13,0.5010897517204285
54,2,14,0.75832200050354
54,2,15,0.6716304421424866
54,2,16,0.34925320744514465
54,2,17,0.5853166580200195
54,2,18,0.4607266187667847
54,2,19,0.39763489365577703
54,3,1,0.5767267942428589
54,3,2,0.6263426542282104
54,3,3,0.5317100882530212
54,3,4,0.303520143032074
54,3,5,0.8709216713905334
54,3,6,0.6308921575546265
54,3,7,0.4841530323028565
54,3,8,0.3853651285171509
54,3,9,0.8049999475479126
54,3,10,0.886452317237854
54,3,11,0.6228973865509033
54,3,12,0.3065691292285919
54,3,13,0.4940638840198517
54,3,14,0.7612806558609009
54,3,15,0.665927529335022
54,3,16,0.34885939955711365
54,3,17,0.5798762440681458
54,3,18,0.454308271408081
54,3,19,0.4171021282672882
54,4,1,0.5758893489837646
54,4,2,0.6315358281135559
54,4,3,0.5291764140129089
54,4,4,0.3094528019428253
54,4,5,0.8673336505889893
54,4,6,0.6298521757125854
54,4,7,0.4935983419418335
54,4,8,0.38908034563064575
54,4,9,0.8045967221260071
54,4,10,0.8894609808921814
54,4,11,0.6235912442207336
54,4,12,0.3097551465034485
54,4,13,0.5008385181427002
54,4,14,0.7547868490219116
54,4,15,0.6652101874351501
54,4,16,0.35177746415138245
54,4,17,0.5761831402778625
54,4,18,0.4536918997764587
54,4,19,0.42026251554489136
54,5,1,0.6103803515434265
54,5,2,0.6167797446250916
54,5,3,0.5294408798217773
54,5,4,0.31538748741149897
54,5,5,0.8650800585746765
54,5,6,0.623012900352478
54,5,7,0.4765639305114746
54,5,8,0.3848468065261841
54,5,9,0.8145602941513062
54,5,10,0.8898962736129761
54,5,11,0.6294019222259521
54,5,12,0.31214582920074463
54,5,13,0.5001026391983032
54,5,14,0.7562660574913025
54,5,15,0.6549402475357056
54,5,16,0.34977033734321594
54,5,17,0.5671058297157288
54,5,18,0.4363432824611664
54,5,19,0.4544343948364258
54,6,1,0.5952276587486267
54,6,2,0.623471200466156
54,6,3,0.527985155582428
54,6,4,0.3141584694385529
54,6,5,0.8689704537391663
54,6,6,0.6246165037155151
54,6,7,0.4827102422714234
54,6,8,0.38998907804489136
54,6,9,0.8081284761428833
54,6,10,0.8877803087234497
54,6,11,0.6273098587989807
54,6,12,0.3082857728004456
54,6,13,0.4962950348854065
54,6,14,0.7615156173706055
54,6,15,0.6614472270011902
54,6,16,0.34826692938804626
54,6,17,0.5779032111167908
54,6,18,0.44557070732116705
54,6,19,0.436562329530716
54,7,1,0.5730506181716919
54,7,2,0.6324968934059143
54,7,3,0.5309553146362305
54,7,4,0.3090214431285858
54,7,5,0.8691259622573853
54,7,6,0.6319640874862671
54,7,7,0.4872243702411652
54,7,8,0.384429544210434
54,7,9,0.8066891431808472
54,7,10,0.8898665904998779
54,7,11,0.6230776906013489
54,7,12,0.3132582604885101
54,7,13,0.5023082494735718
54,7,14,0.7607796788215637
54,7,15,0.6680537462234497
54,7,16,0.3520427346229553
54,7,17,0.5769623517990112
54,7,18,0.453457772731781
54,7,19,0.4187352061271668
54,8,1,0.5760219097137451
54,8,2,0.6237467527389526
54,8,3,0.531636655330658
54,8,4,0.31036582589149475
54,8,5,0.8699827194213867
54,8,6,0.6299186944961548
54,8,7,0.4799605906009674
54,8,8,0.38755425810813904
54,8,9,0.8077583909034729
54,8,10,0.8891945481300354
54,8,11,0.6245845556259155
54,8,12,0.3076164424419403
54,8,13,0.4959715008735657
54,8,14,0.7616010904312134
54,8,15,0.6653391122817993
54,8,16,0.3518127501010895
54,8,17,0.5778798460960388
54,8,18,0.4483555257320404
54,8,19,0.4235776364803314
54,9,1,0.5689772367477417
54,9,2,0.6280899047851562
54,9,3,0.5309280753135681
54,9,4,0.3102677166461945
54,9,5,0.8690599203109741
54,9,6,0.626304030418396
54,9,7,0.4904715120792389
54,9,8,0.3931190371513367
54,9,9,0.8024717569351196
54,9,10,0.8894379734992981
54,9,11,0.6238042712211609
54,9,12,0.30731701850891113
54,9,13,0.4961851239204407
54,9,14,0.7590133547782898
54,9,15,0.6648760437965393
54,9,16,0.34698668122291565
54,9,17,0.5789328813552856
54,9,18,0.4575772285461426
54,9,19,0.4114205241203308
54,10,1,0.5445433855056763
54,10,2,0.6430230140686035
54,10,3,0.5308526158332825
54,10,4,0.3151470124721527
54,10,5,0.8667276501655579
54,10,6,0.633682131767273
54,10,7,0.5031114220619202
54,10,8,0.3997293412685394
54,10,9,0.7968103885650635
54,10,10,0.8895951509475708
54,10,11,0.618396520614624
54,10,12,0.3046056926250458
54,10,13,0.5002469420433044
54,10,14,0.7567381262779236
54,10,15,0.6744405627250671
54,10,16,0.3476550877094269
54,10,17,0.5871944427490234
54,10,18,0.4651727974414826
54,10,19,0.3916584253311157
54,11,1,0.5622900724411011
54,11,2,0.626437783241272
54,11,3,0.5342469215393066
54,11,4,0.3076762557029724
54,11,5,0.8685253858566284
54,11,6,0.6352819204330444
54,11,7,0.4891694784164429
54,11,8,0.38986584544181824
54,11,9,0.8025465607643127
54,11,10,0.8866808414459229
54,11,11,0.6237842440605164
54,11,12,0.3087639510631561
54,11,13,0.5011275410652161
54,11,14,0.7615012526512146
54,11,15,0.673636794090271
54,11,16,0.350343257188797
54,11,17,0.5800449848175049
54,11,18,0.4574349224567413
54,11,19,0.40788859128952026
54,12,1,0.5714355707168579
54,12,2,0.6235340237617493
54,12,3,0.5296202301979065
54,12,4,0.314578652381897
54,12,5,0.8667752742767334
54,12,6,0.6305207014083862
54,12,7,0.4952903687953949
54,12,8,0.3941697776317597
54,12,9,0.8039166331291199
54,12,10,0.8886739015579224
54,12,11,0.6232918500900269
54,12,12,0.3084712624549866
54,12,13,0.4982765316963196
54,12,14,0.7590095996856691
54,12,15,0.6698172688484192
54,12,16,0.34579744935035706
54,12,17,0.5805386900901794
54,12,18,0.4544830322265625
54,12,19,0.4139657616615296
54,13,1,0.5794680118560791
54,13,2,0.6224372386932373
54,13,3,0.5353016853332521
54,13,4,0.30685409903526306
54,13,5,0.8688644170761108
54,13,6,0.6264126896858215
54,13,7,0.4844267070293426
54,13,8,0.3880913257598877
54,13,9,0.8057175874710083
54,13,10,0.8886951804161072
54,13,11,0.6220788955688477
54,13,12,0.30852997303009033
54,13,13,0.4986077547073364
54,13,14,0.7608513236045837
54,13,15,0.6622705459594727
54,13,16,0.3515132665634155
54,13,17,0.575613260269165
54,13,18,0.4498311579227448
54,13,19,0.4239606857299805
54,14,1,0.5798953175544739
54,14,2,0.6245513558387756
54,14,3,0.5307518839836121
54,14,4,0.3142745792865753
54,14,5,0.8684836626052856
54,14,6,0.6240569353103638
54,14,7,0.4824822545051575
54,14,8,0.3941197097301483
54,14,9,0.8071249723434448
54,14,10,0.88971346616745
54,14,11,0.627761721611023
54,14,12,0.3076935112476349
54,14,13,0.494877964258194
54,14,14,0.7596532702445984
54,14,15,0.6629999279975891
54,14,16,0.3507903218269348
54,14,17,0.578090488910675
54,14,18,0.4504476487636566
54,14,19,0.4253528714179993
54,15,1,0.5819593071937561
54,15,2,0.6260246634483337
54,15,3,0.5301738381385803
54,15,4,0.3138078451156616
54,15,5,0.8684120178222656
54,15,6,0.6215448975563049
54,15,7,0.4877370893955231
54,15,8,0.3915068805217743
54,15,9,0.8038808107376099
54,15,10,0.8895226716995239
54,15,11,0.6233744621276855
54,15,12,0.3061134219169617
54,15,13,0.4984740912914276
54,15,14,0.7610640525817871
54,15,15,0.6603270769119263
54,15,16,0.35078975558280945
54,15,17,0.579340934753418
54,15,18,0.44915613532066345
54,15,19,0.4273413717746735
54,16,1,0.56294184923172
54,16,2,0.6244972348213196
54,16,3,0.5344917178153992
54,16,4,0.31078848242759705
54,16,5,0.8681000471115112
54,16,6,0.6316927075386047
54,16,7,0.4900224506855011
54,16,8,0.39308777451515203
54,16,9,0.8019948601722717
54,16,10,0.8883752822875977
54,16,11,0.6210149526596069
54,16,12,0.3057772219181061
54,16,13,0.4983478784561157
54,16,14,0.7605417966842651
54,16,15,0.6649966239929199
54,16,16,0.3491399884223938
54,16,17,0.5795589685440063
54,16,18,0.4563163816928864
54,16,19,0.4115846455097199
54,17,1,0.5883955955505371
54,17,2,0.619289219379425
54,17,3,0.530545711517334
54,17,4,0.3067062199115753
54,17,5,0.8674498796463013
54,17,6,0.6230431199073792
54,17,7,0.4868806004524231
54,17,8,0.3857424259185791
54,17,9,0.8081029653549194
54,17,10,0.8893418908119202
54,17,11,0.6245278120040894
54,17,12,0.3080762028694153
54,17,13,0.498189240694046
54,17,14,0.7601770162582397
54,17,15,0.6590697765350342
54,17,16,0.346846342086792
54,17,17,0.5737355947494507
54,17,18,0.4460495710372925
54,17,19,0.4321465790271759
54,18,1,0.6053853631019592
54,18,2,0.6163702011108398
54,18,3,0.5257564187049866
54,18,4,0.3136308491230011
54,18,5,0.8687489032745361
54,18,6,0.6160296201705933
54,18,7,0.4847919344902039
54,18,8,0.3872886896133423
54,18,9,0.8130843043327332
54,18,10,0.8895098567008972
54,18,11,0.6218411326408386
54,18,12,0.3101526200771332
54,18,13,0.5053273439407349
54,18,14,0.7594841718673706
54,18,15,0.6545285582542419
54,18,16,0.34915414452552795
54,18,17,0.5675228834152222
54,18,18,0.4364289939403534
54,18,19,0.4564712047576904
54,19,1,0.5863443613052368
54,19,2,0.620707094669342
54,19,3,0.5317968130111694
54,19,4,0.30928122997283936
54,19,5,0.8683765530586243
54,19,6,0.6258215308189392
54,19,7,0.4822665452957153
54,19,8,0.3869070708751679
54,19,9,0.8086041212081909
54,19,10,0.889359712600708
54,19,11,0.6252128481864929
54,19,12,0.3090191185474396
54,19,13,0.5047646164894104
54,19,14,0.7620324492454529
54,19,15,0.6586465239524841
54,19,16,0.35057735443115234
54,19,17,0.5726613998413086
54,19,18,0.4423888921737671
54,19,19,0.4345245659351349
54,20,1,0.584348201751709
54,20,2,0.6219416856765747
54,20,3,0.5250999331474304
54,20,4,0.31029388308525085
54,20,5,0.8671409487724304
54,20,6,0.6226531863212585
54,20,7,0.491154134273529
54,20,8,0.3918442130088806
54,20,9,0.8062194585800171
54,20,10,0.8884810209274292
54,20,11,0.621161699295044
54,20,12,0.3104342520236969
54,20,13,0.5029448866844177
54,20,14,0.7580729722976685
54,20,15,0.65706866979599
54,20,16,0.3466255366802216
54,20,17,0.5744773745536804
54,20,18,0.4468037784099579
54,20,19,0.4293842911720276
54,21,1,0.5826759934425354
54,21,2,0.6193069219589233
54,21,3,0.5279067754745483
54,21,4,0.30958345532417303
54,21,5,0.8675869703292847
54,21,6,0.6249637603759766
54,21,7,0.4914743602275848
54,21,8,0.3903707265853882
54,21,9,0.8063675761222839
54,21,10,0.8891457319259644
54,21,11,0.6204970479011536
54,21,12,0.31167611479759216
54,21,13,0.5021477937698364
54,21,14,0.756755530834198
54,21,15,0.6604844927787781
54,21,16,0.34739327430725103
54,21,17,0.5758379697799683
54,21,18,0.4525308012962341
54,21,19,0.4250942766666413
54,22,1,0.5977510809898376
54,22,2,0.6056842207908629
54,22,3,0.5334078073501587
54,22,4,0.3088938295841217
54,22,5,0.8678311705589294
54,22,6,0.6224444508552551
54,22,7,0.4764693975448608
54,22,8,0.3863743841648102
54,22,9,0.8155897259712219
54,22,10,0.8903908133506775
54,22,11,0.6231793165206909
54,22,12,0.3098180592060089
54,22,13,0.4951640665531158
54,22,14,0.7578665614128113
54,22,15,0.6531617045402527
54,22,16,0.34644848108291626
54,22,17,0.568011999130249
54,22,18,0.4392242133617401
54,22,19,0.4467818439006805
54,23,1,0.6190208792686462
54,23,2,0.5974896550178528
54,23,3,0.5300770401954651
54,23,4,0.3134006261825561
54,23,5,0.8665375113487244
54,23,6,0.6121745109558105
54,23,7,0.476132333278656
54,23,8,0.3851483464241028
54,23,9,0.8175305128097534
54,23,10,0.8926945924758911
54,23,11,0.6270592212677002
54,23,12,0.3132175803184509
54,23,13,0.4974025189876557
54,23,14,0.7571774125099182
54,23,15,0.6468620300292969
54,23,16,0.3454727530479431
54,23,17,0.5651721954345703
54,23,18,0.435380756855011
54,23,19,0.4631539881229401
54,24,1,0.5949321389198303
54,24,2,0.6053176522254944
54,24,3,0.5347468852996826
54,24,4,0.3158145844936371
54,24,5,0.8656335473060608
54,24,6,0.6205036640167236
54,24,7,0.4832291007041931
