pid,measure,feature,feature_value,guideline_value,difference,critical_score
68.0,1.0,1.0,-0.720931742223885,0.047619047619047616,-0.7685507898429327,9.0
68.0,1.0,2.0,-0.4456243850158641,0.0,-0.4456243850158641,7.0
68.0,1.0,3.0,0.11513161323379115,0.6666666666666666,-0.5515350534328755,1.0
68.0,1.0,4.0,-0.11757445228125395,,,1.0
68.0,1.0,6.0,0.00489079820072158,0.6666666666666666,-0.661775868465945,3.0
68.0,1.0,7.0,0.3547211124088141,0.5,-0.1452788875911859,4.0
68.0,1.0,8.0,-0.2384389382582903,0.6666666666666666,-0.905105604924957,5.0
68.0,1.0,9.0,0.4596679209097258,0.3333333333333333,0.1263345875763925,4.0
68.0,1.0,10.0,0.5154551307757307,-0.3333333333333333,0.848788464109064,3.0
68.0,1.0,11.0,0.1500690208547395,0.6666666666666666,-0.5165976458119271,3.0
68.0,1.0,13.0,0.17818717899908146,0.3333333333333333,-0.15514615433425186,4.0
68.0,1.0,14.0,-0.3284043172000628,,,2.0
68.0,1.0,15.0,-0.2371548888690184,0.6666666666666666,-0.903821555535685,1.0
68.0,1.0,16.0,0.2430684282024935,0.8888888888888888,-0.6458204606863953,6.0
68.0,1.0,17.0,0.26266746174595235,,,3.0
68.0,1.0,18.0,-0.3533730616970924,0.6666666666666666,-1.020039728363759,2.0
68.0,1.0,19.0,-0.010061190750090043,,,10.0
68.0,2.0,1.0,-0.3857090898518226,0.047619047619047616,-0.43332813747087023,12.0
68.0,2.0,2.0,-0.367361190731804,0.0,-0.367361190731804,10.0
68.0,2.0,3.0,0.5028113952343152,0.6666666666666666,-0.16385527143235146,2.0
68.0,2.0,4.0,0.3691338445027521,,,4.0
68.0,2.0,5.0,-0.06226834949915273,,,1.0
68.0,2.0,6.0,0.1415444104262178,0.6666666666666666,-0.5251222562404488,6.0
68.0,2.0,7.0,0.5259875541199754,0.5,0.025987554119975442,7.0
68.0,2.0,8.0,-0.19984851801280645,0.6666666666666666,-0.8665151846794731,8.0
68.0,2.0,9.0,0.26315167746551826,0.3333333333333333,-0.07018165586781505,7.0
68.0,2.0,10.0,0.6024530426868706,-0.3333333333333333,0.9357863760202039,6.0
68.0,2.0,11.0,-0.48607322080438004,0.6666666666666666,-1.1527398874710466,6.0
68.0,2.0,12.0,0.04510758348012489,,,3.0
68.0,2.0,13.0,0.20970984177593066,0.3333333333333333,-0.12362349155740265,7.0
68.0,2.0,14.0,-0.2030582757641438,,,5.0
68.0,2.0,15.0,-0.20951052337172826,0.6666666666666666,-0.8761771900383949,3.0
68.0,2.0,16.0,0.3233535156932157,0.8888888888888888,-0.5655353731956732,6.0
68.0,2.0,17.0,0.15873077697422588,,,6.0
68.0,2.0,18.0,-0.2281147935033907,0.6666666666666666,-0.8947814601700573,5.0
68.0,2.0,19.0,-0.14934690307657986,,,10.0
68.0,3.0,1.0,-0.3969499164051299,0.047619047619047616,-0.4445689640241775,14.0
68.0,3.0,2.0,-0.2670217460036203,0.0,-0.2670217460036203,10.0
68.0,3.0,3.0,0.4136282953138049,0.6666666666666666,-0.2530383713528617,2.0
68.0,3.0,4.0,0.2772919467867405,,,4.0
68.0,3.0,5.0,-0.10811725115417237,,,1.0
68.0,3.0,6.0,0.33257884917210623,0.6666666666666666,-0.3340878174945604,9.0
68.0,3.0,7.0,0.4797453186232694,0.5,-0.020254681376730588,8.0
68.0,3.0,8.0,-0.06848763229301957,0.6666666666666666,-0.7351542989596862,10.0
68.0,3.0,9.0,0.4655022814642844,0.3333333333333333,0.1321689481309511,8.0
68.0,3.0,10.0,0.4635350636730871,-0.3333333333333333,0.7968683970064204,8.0
68.0,3.0,11.0,-0.2594251547506261,0.6666666666666666,-0.9260918214172927,8.0
68.0,3.0,12.0,-0.3711125825319914,,,5.0
68.0,3.0,13.0,0.16336191266672118,0.3333333333333333,-0.16997142066661214,10.0
68.0,3.0,14.0,-0.3134426366204233,,,8.0
68.0,3.0,15.0,-0.12484171101501162,0.6666666666666666,-0.7915083776816783,3.0
68.0,3.0,16.0,0.17985633348858232,0.8888888888888888,-0.7090325554003065,5.0
68.0,3.0,17.0,-0.028456450848721167,,,7.0
68.0,3.0,18.0,-0.3178199613541729,0.6666666666666666,-0.9844866280208395,8.0
68.0,3.0,19.0,-0.16726123895222889,,,10.0
68.0,4.0,1.0,-0.486479354910556,-0.1851851851851852,-0.3012941697253708,15.0
68.0,4.0,2.0,-0.29631533414999023,0.0,-0.29631533414999023,10.0
68.0,4.0,3.0,0.4830112146774415,0.6666666666666666,-0.18365545198922512,2.0
68.0,4.0,4.0,0.266405138977043,,,5.0
68.0,4.0,5.0,0.016805101527126443,,,1.0
68.0,4.0,6.0,0.20631374874580266,0.6666666666666666,-0.46035291792086397,8.0
68.0,4.0,7.0,0.2815109139626573,0.5,-0.21848908603734268,7.0
68.0,4.0,8.0,-0.3176584951606771,0.6666666666666666,-0.9843251618273438,11.0
68.0,4.0,9.0,0.318230118400618,0.3333333333333333,-0.015103214932715325,8.0
68.0,4.0,10.0,0.1329280038152103,-0.3333333333333333,0.4662613371485436,8.0
68.0,4.0,11.0,-0.4531730667074809,0.6666666666666666,-1.1198397333741474,9.0
68.0,4.0,12.0,0.08274877268321146,,,6.0
68.0,4.0,13.0,0.35126248094360624,0.3333333333333333,0.017929147610272922,10.0
68.0,4.0,14.0,0.1878356526498284,,,6.0
68.0,4.0,15.0,-0.05295707138725792,0.6666666666666666,-0.7196237380539245,3.0
68.0,4.0,16.0,0.2743142395445153,0.8888888888888888,-0.6145746493443736,4.0
68.0,4.0,17.0,0.3478225012923695,,,7.0
68.0,4.0,18.0,-0.2349724437734668,0.6666666666666666,-0.9016391104401335,8.0
68.0,4.0,19.0,-0.21737500587440672,,,10.0
68.0,5.0,1.0,-0.1996323764038458,0.047619047619047616,-0.2472514240228934,13.0
68.0,5.0,2.0,-0.3670250923584798,0.0,-0.3670250923584798,10.0
68.0,5.0,3.0,0.37356822184394395,0.6666666666666666,-0.2930984448227227,2.0
68.0,5.0,4.0,0.2323443666127409,,,7.0
68.0,5.0,5.0,-0.27706172488684144,,,2.0
68.0,5.0,6.0,0.2373745048354827,0.6666666666666666,-0.4292921618311839,7.0
68.0,5.0,7.0,0.5632772846323499,0.5,0.06327728463234994,6.0
68.0,5.0,8.0,-0.3947930718385587,0.6666666666666666,-1.0614597385052253,11.0
68.0,5.0,9.0,0.4597663000853778,0.3333333333333333,0.12643296675204446,8.0
68.0,5.0,10.0,0.4811478618895349,-0.3333333333333333,0.8144811952228682,6.0
68.0,5.0,11.0,-0.5437927220256162,0.6666666666666666,-1.210459388692283,9.0
68.0,5.0,12.0,0.19285884215756144,,,5.0
68.0,5.0,13.0,0.4220483092953509,0.3333333333333333,0.0887149759620176,9.0
68.0,5.0,14.0,-0.25575970758344324,,,4.0
68.0,5.0,15.0,-0.2998738076782204,0.6666666666666666,-0.9665404743448871,4.0
68.0,5.0,16.0,0.2060895612563056,0.8888888888888888,-0.6827993276325832,4.0
68.0,5.0,17.0,0.4166487920116109,,,7.0
68.0,5.0,18.0,-0.2267530282225717,0.6666666666666666,-0.8934196948892383,7.0
68.0,5.0,19.0,-0.4550943864074354,,,10.0
68.0,6.0,1.0,-0.3911850430006599,0.047619047619047616,-0.43880409061970754,13.0
68.0,6.0,2.0,-0.4303194744869699,0.0,-0.4303194744869699,10.0
68.0,6.0,3.0,0.4117550680361486,0.6666666666666666,-0.25491159863051804,1.0
68.0,6.0,4.0,0.2792723305642704,,,8.0
68.0,6.0,5.0,0.030534299497297024,,,2.0
