measure,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
1,2.8659259080886836,3.3247988522052765,4.060037851333618,3.730634033679962,3.1727839410305023,3.8131642937660217,3.909095227718353,3.463263511657715,4.106455385684967,3.596456229686737,3.249801307916641,3.4564559459686275,3.426401436328888,3.61601859331131,3.216385781764984,3.3118830025196075,4.0694560408592215,14.0,3.2707987427711487
2,2.6855784058570857,3.384898483753205,4.045680046081543,3.6611835956573486,3.140564620494843,3.831134498119354,3.837448060512543,3.2964831590652466,3.945111989974976,3.4217029809951787,3.2300997972488408,3.4832303822040562,3.57316130399704,3.574551522731781,3.2428764998912816,3.3074119389057164,4.077143132686615,14.0,3.3015959262847905
3,2.9629130661487584,3.1834561228752136,4.100944995880127,3.459080338478089,3.5601682662963867,3.755978405475617,3.851029396057129,2.992036521434784,4.025881111621857,3.534367859363556,3.4136889874935146,3.457447290420532,3.478575944900513,3.515019953250885,3.4877978265285488,3.488241970539093,4.2573771476745605,14.0,3.23762395977974
4,3.1001266539096832,3.288407832384109,3.94815444946289,3.693085610866548,3.35501691699028,3.690942287445069,3.9155898690223694,3.1499018669128414,4.075857222080232,3.680756390094757,3.364819377660752,3.5693019032478333,3.611738622188568,3.2986112534999847,3.108133763074875,3.5740320682525635,4.090172469615936,14.0,3.47981908917427
5,3.1011866331100464,3.1501154899597164,4.1557497382164,3.734404146671295,3.231103241443634,3.474691092967987,3.900225281715393,3.3738121986389165,4.2180254459381095,3.836380362510681,3.5138604640960693,3.52535480260849,3.917097330093384,3.100952565670013,3.078460812568665,3.4085436761379238,3.804485440254211,12.444444444444443,3.4851214885711674
6,3.1632195115089417,3.2161519229412083,3.901382267475128,3.6721463799476624,3.3162278532981877,3.5259017944335938,3.948044717311859,3.159588128328324,4.145968973636627,3.67939829826355,3.3418344557285313,3.473726242780685,3.663296043872833,3.338195145130158,3.3793532550334926,3.508896231651306,4.014009177684784,12.444444444444445,3.3144750595092773
7,3.0764547586441036,3.3377368152141567,4.128031313419342,3.8756406903266902,3.324868112802505,3.500831961631775,4.024070739746094,3.265785902738571,4.061287462711334,3.94687020778656,3.3964395523071285,3.6232483983039856,3.6660948395729065,3.353284150362015,3.2828079462051387,3.7064462304115295,4.013622403144836,13.999999999999998,3.4071951806545253
8,2.943733930587769,3.0805665850639343,4.162895679473877,3.760801196098328,3.4022023677825923,3.4990618526935573,4.005669951438904,3.455012321472168,4.0786213874816895,3.957555115222931,3.669526994228363,3.5498692989349365,3.6728744506835938,3.4707609713077545,3.2737585902214046,3.9497182369232178,3.925295531749725,14.0,3.250980824232102
9,2.7857922315597534,3.1941604316234598,4.106989026069641,3.8086515069007874,3.0645650923252106,3.913732767105103,3.8826034665107727,3.541400730609894,4.064925730228424,3.5614541769027714,3.3112517297267914,3.5319132804870605,3.525267601013184,3.5585907101631165,3.2997895181179047,3.3134622275829315,4.033193528652191,14.0,3.2282516658306126
10,2.8156126737594604,3.3967445492744446,4.013221859931947,3.6376178860664377,3.206658631563186,3.841260731220245,3.8220142126083374,3.32379686832428,3.992610991001129,3.661129355430603,3.16792380809784,3.339941680431366,3.36594569683075,3.488087803125381,3.1873708069324493,3.348585277795792,4.188508749008179,14.0,3.312881648540497
11,2.7761005461215973,3.3014125525951385,3.98793089389801,3.6482418775558467,3.4503211677074432,3.798936665058136,3.978714644908905,3.2130011916160583,3.9219839572906494,3.5421396493911743,3.2101233303546906,3.8152571320533752,3.5835140943527217,3.836970746517181,3.619701504707336,3.3961689770221715,4.123006165027618,3.054078996181488,3.2872103750705723
12,3.0027132928371434,3.48144942522049,3.697677671909332,3.5690386295318604,3.235359847545624,3.7742331624031062,3.810490250587464,2.9694506824016567,4.217045783996582,3.4686120152473454,3.206710785627365,3.502751648426056,3.694596409797669,3.464687317609787,3.554384171962738,3.2243636846542363,4.197270214557648,2.9972354471683507,3.335944175720215
13,3.134469896554947,3.18974632024765,4.2372398376464835,3.645557820796967,3.2332720160484314,3.5316946506500244,4.015334725379944,3.36992421746254,4.230035066604613,3.937226295471192,3.3961028456687927,3.4678499400615688,3.69230455160141,3.359247863292694,3.252311378717423,3.4724968671798706,3.88740873336792,2.97120201587677,3.445115774869919
14,3.0407108664512634,2.9186624288558964,4.178772628307343,3.5456573367118835,3.3205240964889526,3.5204018354415894,3.714525103569031,3.530299425125122,4.164876282215118,4.026282489299774,3.748728573322296,3.4982759952545166,3.504459798336029,3.3021854758262634,3.307194352149964,3.9930144548416138,3.8622350096702576,3.105790793895721,3.2512242794036865
15,3.0975592136383057,3.0823268890380864,4.194446802139281,3.755160629749298,3.1564348936080933,3.4604995548725124,4.062186598777772,3.6509947776794434,4.141955614089967,4.0000481605529785,3.411718189716339,3.3984013795852657,3.653736412525177,3.3778737485408783,3.0633361339569087,3.6914254426956177,3.86756432056427,3.0789906978607178,3.4157732725143437
