pid,measure,feature,feature_value
59,1,1,-0.7453330570343027
59,1,2,-0.18526188636572394
59,1,3,0.43593137806981686
59,1,4,0.19168769587035994
59,1,5,-0.19530499928285328
59,1,6,0.3393060969051487
59,1,7,0.32051718022492737
59,1,8,-0.11357736276362207
59,1,9,0.6019576740326138
59,1,10,0.1711291254097922
59,1,11,-0.21540870317913896
59,1,12,-0.1378910948509302
59,1,13,-0.10784849098235771
59,1,14,0.06549914668824042
59,1,15,-0.3062677532049577
59,1,16,0.13191228678266342
59,1,17,0.7005291374041123
59,1,18,-0.11062335180509597
59,1,19,-0.35863748893556746
59,2,1,-0.6592660546650418
59,2,2,-0.33959426645283675
59,2,3,0.49325199334566494
59,2,4,0.006509376488707641
59,2,5,-0.21408998339911822
59,2,6,0.1946799400895729
59,2,7,0.27475480736827107
59,2,8,-0.17699017503514458
59,2,9,0.5847618827062551
59,2,10,0.2472168097883265
59,2,11,-0.10710370706418515
59,2,12,0.04226468493116875
59,2,13,-0.04370706200003871
59,2,14,0.0008993555292344801
59,2,15,-0.320860405668004
59,2,16,0.11934774494220468
59,2,17,0.46336057471363556
59,2,18,-0.2689820219561604
59,2,19,-0.13705695434063891
59,3,1,-0.6195904169096754
59,3,2,-0.2809282773523747
59,3,3,0.5106937883950693
59,3,4,0.1740829178925425
59,3,5,-0.008090048723375487
59,3,6,0.2122174275285813
59,3,7,0.47173780984371017
59,3,8,-0.37690971040708265
59,3,9,0.5236620734683783
59,3,10,0.19855919595671256
59,3,11,-0.12462153168341117
59,3,12,-0.09851498738357012
59,3,13,-0.0526674089745256
59,3,14,0.014707898434544564
59,3,15,-0.12177785099143756
59,3,16,0.11351487869187182
59,3,17,0.8311330820060838
59,3,18,-0.27218880938676837
59,3,19,-0.45962005096384373
59,4,1,-0.4216498351108704
59,4,2,-0.12893839452858002
59,4,3,0.32072822782391675
59,4,4,0.15478757436505752
59,4,5,-0.04888078683613539
59,4,6,0.041019373011665694
59,4,7,0.3884487269580419
59,4,8,-0.4852559984435786
59,4,9,0.6261604204260431
59,4,10,0.09831071253361667
59,4,11,-0.3428797051625716
59,4,12,-0.14137338023425583
59,4,13,0.14431340874316012
59,4,14,-0.022644030974184548
59,4,15,-0.22809974249352738
59,4,16,0.23974755998061337
59,4,17,0.5909744598541478
59,4,18,-0.4485815624142141
59,4,19,-0.17256429277807606
59,5,1,-0.3323247035037947
59,5,2,-0.4592766070449913
59,5,3,0.47433242815178334
59,5,4,0.32517726851317286
59,5,5,-0.1139780473356169
59,5,6,-0.06103153555807983
59,5,7,0.43287533892420127
59,5,8,-0.17452183572522428
59,5,9,0.6931551430344516
59,5,10,0.4391927844442627
59,5,11,-0.10634472222061397
59,5,12,-0.15620154958313148
59,5,13,0.40687715860893414
59,5,14,-0.26634108678371216
59,5,15,-0.3962948474782375
59,5,16,0.14103583516133833
59,5,17,0.21358639673693314
59,5,18,-0.45621313972301425
59,5,19,-0.02918694349440898
59,6,1,-0.48592256803417533
59,6,2,-0.371649032212396
59,6,3,0.5011000801478382
59,6,4,0.15881102424392912
59,6,5,-0.20487751537987575
59,6,6,0.1289012536467704
59,6,7,0.3879055961805191
59,6,8,-0.36719955457158926
59,6,9,0.6750072342791114
59,6,10,0.09334126254747344
59,6,11,-0.14168536364145812
59,6,12,0.011268215827411998
59,6,13,-0.023480137766454412
59,6,14,-0.027387358532839023
59,6,15,0.10909118119255656
59,6,16,0.02271153998876807
59,6,17,0.4569657887690999
59,6,18,-0.6323181601543226
59,6,19,-0.26633212927692274
59,7,1,-0.5194214586688075
59,7,2,-0.12363249184839531
59,7,3,0.5954265592042587
59,7,4,0.4590316957008227
59,7,5,-0.1518021028948805
59,7,6,-0.011422678200585845
59,7,7,0.47594827498628245
59,7,8,-0.29971129518666184
59,7,9,0.7081976371189469
59,7,10,0.5575441706129765
59,7,11,-0.2262669492141044
59,7,12,-0.02387339416208656
59,7,13,0.16414314401715568
59,7,14,-0.051576777903971416
59,7,15,-0.11505709919007756
59,7,16,0.29822478601117086
59,7,17,0.5395824032182355
59,7,18,-0.5256755462140166
59,7,19,-0.33851936563810825
59,8,1,-0.4864709422303082
59,8,2,-0.4487760058542781
59,8,3,0.5918330696512788
59,8,4,0.22037225431934804
59,8,5,-0.013653097391148394
59,8,6,-0.034651678063273406
59,8,7,0.4817081703276471
59,8,8,-0.17982642755075695
59,8,9,0.6627782712295915
59,8,10,0.4720445498323034
59,8,11,0.0997788697439781
59,8,12,-0.09592932658228626
59,8,13,0.06581418875629708
59,8,14,-0.08666092876455334
59,8,15,-0.2885476200177556
59,8,16,0.5084185816705598
59,8,17,0.33667127905441063
59,8,18,-0.5577785951199288
59,8,19,-0.11860427187868261
59,9,1,-0.7466113587958838
