measure,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
1,7.333333333333332,4.3587321043014535,11.666666666666666,2.702883750200272,5.892862677574158,4.534256398677826,10.11111111111111,11.666666666666666,5.680951952934265,4.666666666666667,11.666666666666666,2.2432944178581242,3.662300109863281,4.680730879306793,4.504448890686035,2.5363034605979915,3.906908929347992,4.652227222919464,3.756673514842987
2,7.333333333333334,4.3207021951675415,11.666666666666666,2.69866156578064,5.915500462055206,4.5736727714538565,10.11111111111111,11.666666666666666,5.667207062244415,4.666666666666666,11.666666666666666,2.2813034653663635,3.6888990998268127,4.67833012342453,4.488030791282653,2.501553416252136,3.843187093734741,4.627875030040741,3.71256160736084
3,7.333333333333332,4.287353217601776,11.666666666666666,2.6914643049240112,5.90492445230484,4.552025079727173,10.11111111111111,11.666666666666664,5.671928882598878,4.666666666666667,11.666666666666666,2.252366930246353,3.708659648895265,4.667190432548524,4.491185486316682,2.5199139416217804,3.844578146934509,4.596877992153168,3.793142557144165
4,5.703703703703703,4.294976890087128,11.666666666666666,2.692763775587081,5.90629380941391,4.6093958020210275,10.11111111111111,11.666666666666666,5.678271234035492,4.666666666666667,11.666666666666666,2.2599336504936223,3.700709700584412,4.709273338317871,4.521965563297272,2.512369960546493,3.837172269821167,4.630433917045592,3.73530912399292
5,7.333333333333334,4.267667353153229,11.666666666666666,2.6792813241481785,5.920522272586823,4.641240656375885,10.11111111111111,11.666666666666666,5.681869864463806,4.666666666666667,11.666666666666666,2.2907345890998845,3.710449993610382,4.695064902305604,4.5295153856277475,2.5320727229118347,3.824372828006744,4.610440135002137,3.724393904209137
6,7.333333333333334,4.2785892486572275,3.6156435012817374,2.6615207791328435,5.932841897010803,4.63152289390564,10.11111111111111,11.666666666666666,5.677299916744231,5.82700252532959,7.0,2.3073848783969884,3.721654772758484,4.674480736255647,4.537829995155335,2.5348840355873112,3.850747346878052,4.676822245121002,3.713099420070648
7,7.0,4.231590926647186,3.6024710536003117,2.6326764523982997,5.93240213394165,4.64664924144745,9.333333333333332,7.0,5.654415547847747,5.825991153717041,7.0,2.3457596302032475,3.7118034958839417,4.72330778837204,4.519881069660187,2.487227529287338,3.835948944091797,4.6303062438964835,3.6182824969291687
8,7.0,4.264467597007752,3.63473480939865,2.6153448224067692,5.907036483287811,4.652689516544342,9.333333333333332,7.0,5.663515388965608,5.830918669700623,7.0,2.324497252702713,3.651836335659027,4.687507987022401,4.520987153053285,2.4993623197078705,3.84713077545166,4.612046897411346,3.619013488292694
9,2.3333333333333344,4.2427940368652335,3.633701741695404,2.642915964126587,5.911883056163787,4.679319381713867,7.777777777777779,7.0,5.6569756865501395,5.819878280162811,9.333333333333332,2.3245625495910645,3.682664394378662,4.6950828433036795,4.539476811885835,2.4851941466331477,3.855890154838562,4.617208480834961,3.583880841732025
10,2.333333333333333,4.2345436811447135,3.631667733192444,2.655524104833603,5.9185508489608765,4.616763710975646,7.777777777777779,7.0,5.6590564250946045,5.838828980922699,9.333333333333332,2.3237510323524475,3.7068822383880615,4.694468677043915,4.521434843540192,2.46298423409462,3.840723752975464,4.586183071136475,3.6514712572097783
11,5.046186923980714,4.251889705657959,3.6434929370880127,2.628320544958114,5.918274641036987,4.6838818192482,3.3165583014488216,2.733810275793076,5.680276870727539,5.829790890216827,9.333333333333334,2.3133425414562225,3.71294629573822,4.680982053279877,4.524282455444336,2.4681337177753453,3.8377334475517273,4.616213381290437,3.631574273109436
12,5.04956191778183,4.248098313808441,3.6176541447639465,2.63042026758194,5.943943619728088,4.6956077218055725,3.3243334293365483,2.7268881797790527,5.6697930693626395,5.822398364543915,9.333333333333332,2.325037568807602,3.7179514169692993,4.704016625881195,4.5720242857933036,2.4561228454113007,3.870106935501098,4.649566948413849,3.608102023601532
