measure,feature,feature_value,critical_score
1.0,1.0,0.047619047619047616,9.0
1.0,2.0,0.0,7.0
1.0,3.0,0.6666666666666666,1.0
1.0,4.0,,1.0
1.0,6.0,0.6666666666666666,3.0
1.0,7.0,0.3333333333333333,4.0
1.0,8.0,0.6666666666666666,5.0
1.0,9.0,0.3333333333333333,4.0
1.0,10.0,-0.3333333333333333,3.0
1.0,11.0,0.6666666666666666,3.0
1.0,13.0,0.3333333333333333,5.0
1.0,14.0,,2.0
1.0,15.0,0.6666666666666666,1.0
1.0,16.0,0.8888888888888888,6.0
1.0,17.0,,3.0
1.0,18.0,0.6666666666666666,2.0
1.0,19.0,,10.0
2.0,1.0,0.047619047619047616,12.0
2.0,2.0,0.0,10.0
2.0,3.0,0.6666666666666666,2.0
2.0,4.0,,4.0
2.0,5.0,,1.0
2.0,6.0,0.6666666666666666,6.0
2.0,7.0,0.3333333333333333,7.0
2.0,8.0,0.6666666666666666,8.0
2.0,9.0,0.3333333333333333,7.0
2.0,10.0,-0.3333333333333333,6.0
2.0,11.0,0.6666666666666666,6.0
2.0,12.0,,3.0
2.0,13.0,0.3333333333333333,8.0
2.0,14.0,,5.0
2.0,15.0,0.6666666666666666,3.0
2.0,16.0,0.8888888888888888,6.0
2.0,17.0,,6.0
2.0,18.0,0.6666666666666666,5.0
2.0,19.0,,10.0
3.0,1.0,0.047619047619047616,14.0
3.0,2.0,0.0,10.0
3.0,3.0,0.6666666666666666,2.0
3.0,4.0,,4.0
3.0,5.0,,1.0
3.0,6.0,0.6666666666666666,9.0
3.0,7.0,0.3333333333333333,8.0
3.0,8.0,0.6666666666666666,10.0
3.0,9.0,0.3333333333333333,8.0
3.0,10.0,-0.3333333333333333,8.0
3.0,11.0,0.6666666666666666,8.0
3.0,12.0,,5.0
3.0,13.0,0.3333333333333333,11.0
3.0,14.0,,8.0
3.0,15.0,0.6666666666666666,3.0
3.0,16.0,0.8888888888888888,5.0
3.0,17.0,,7.0
3.0,18.0,0.6666666666666666,8.0
3.0,19.0,,10.0
4.0,1.0,-0.1851851851851852,15.0
4.0,2.0,0.0,10.0
4.0,3.0,0.6666666666666666,2.0
4.0,4.0,,5.0
4.0,5.0,,1.0
4.0,6.0,0.6666666666666666,8.0
4.0,7.0,0.3333333333333333,7.0
4.0,8.0,0.6666666666666666,11.0
4.0,9.0,0.3333333333333333,8.0
4.0,10.0,-0.3333333333333333,8.0
4.0,11.0,0.6666666666666666,9.0
4.0,12.0,,6.0
4.0,13.0,0.3333333333333333,11.0
4.0,14.0,,6.0
4.0,15.0,0.6666666666666666,3.0
4.0,16.0,0.8888888888888888,4.0
4.0,17.0,,7.0
4.0,18.0,0.6666666666666666,8.0
