measure,feature,critical_score,feature_value
1,1,7,0.047619047619047616
1,9,2,0.3333333333333333
1,6,1,0.6666666666666666
1,10,1,-0.3333333333333333
1,19,10,
1,16,3,0.8888888888888888
1,11,1,0.6666666666666666
1,13,3,0.3333333333333333
1,2,4,0.0
1,8,2,0.6666666666666666
1,7,3,0.4444444444444444
1,15,1,0.6666666666666666
1,18,1,0.6666666666666666
1,3,1,0.6666666666666666
2,1,7,0.047619047619047616
2,9,2,0.3333333333333333
2,6,1,0.6666666666666666
2,10,1,-0.3333333333333333
2,19,10,
2,16,3,0.8888888888888888
2,11,1,0.6666666666666666
2,13,3,0.3333333333333333
2,2,4,0.0
2,8,2,0.6666666666666666
2,7,3,0.4444444444444444
2,15,1,0.6666666666666666
2,18,1,0.6666666666666666
2,3,1,0.6666666666666666
3,1,7,0.047619047619047616
3,9,2,0.3333333333333333
3,6,1,0.6666666666666666
3,10,1,-0.3333333333333333
3,19,10,
3,16,3,0.8888888888888888
3,11,1,0.6666666666666666
3,13,3,0.3333333333333333
3,2,4,0.0
3,8,2,0.6666666666666666
3,7,3,0.4444444444444444
3,15,1,0.6666666666666666
3,18,1,0.6666666666666666
3,3,1,0.6666666666666666
4,1,9,-0.1851851851851852
4,9,2,0.3333333333333333
4,6,1,0.6666666666666666
4,10,1,-0.3333333333333333
4,19,10,
4,16,3,0.8888888888888888
4,11,1,0.6666666666666666
4,13,3,0.3333333333333333
4,2,4,0.0
4,8,2,0.6666666666666666
4,7,3,0.4444444444444444
4,15,1,0.6666666666666666
4,18,1,0.6666666666666666
4,3,1,0.6666666666666666
5,1,7,0.047619047619047616
5,9,2,0.3333333333333333
5,6,1,0.6666666666666666
5,10,1,-0.3333333333333333
5,19,10,
5,16,3,0.8888888888888888
5,11,1,0.6666666666666666
5,13,3,0.3333333333333333
5,2,4,0.0
5,8,2,0.6666666666666666
5,7,3,0.4444444444444444
5,15,1,0.6666666666666666
5,18,1,0.6666666666666666
5,3,1,0.6666666666666666
6,1,7,0.047619047619047616
6,9,2,0.3333333333333333
6,6,1,0.6666666666666666
6,10,1,-0.3333333333333333
6,19,7,
6,16,3,0.8888888888888888
6,13,3,0.3333333333333333
6,2,4,0.0
6,8,2,0.6666666666666666
6,7,3,0.4444444444444444
6,15,1,0.6666666666666666
6,18,1,0.6666666666666666
6,3,1,0.6666666666666666
7,19,1,1.0
7,7,1,0.3333333333333333
7,13,1,0.6666666666666666
7,15,1,0.6666666666666666
7,18,1,0.6666666666666666
8,19,1,1.0
8,7,1,0.3333333333333333
8,13,1,0.6666666666666666
8,15,1,0.6666666666666666
8,18,1,0.6666666666666666
9,1,4,-0.6666666666666666
9,11,1,0.3333333333333333
9,7,3,0.1111111111111111
9,18,1,0.3333333333333333
10,1,4,-0.6666666666666666
10,11,1,0.3333333333333333
10,7,3,0.1111111111111111
10,18,1,0.3333333333333333
11,1,4,-0.6666666666666666
11,11,1,0.3333333333333333
11,7,3,0.1111111111111111
11,18,1,0.3333333333333333
12,1,4,-0.6666666666666666
12,11,1,0.3333333333333333
12,7,3,0.1111111111111111
12,18,1,0.3333333333333333
13,1,4,-0.6666666666666666
13,11,1,0.3333333333333333
13,7,3,0.1111111111111111
13,18,1,0.3333333333333333
14,1,4,-0.6666666666666666
14,2,1,-0.6666666666666666
14,11,1,0.3333333333333333
14,7,3,0.1111111111111111
14,18,1,0.3333333333333333
15,1,4,-0.6666666666666666
15,2,1,-0.6666666666666666
15,11,1,0.3333333333333333
15,7,3,0.1111111111111111
15,18,1,0.3333333333333333
16,1,5,-0.7333333333333333
16,11,2,0.5
16,19,1,1.0
16,2,1,-0.6666666666666666
16,7,3,0.1111111111111111
16,18,1,0.3333333333333333
17,1,6,-0.6666666666666666
17,11,2,0.5
17,19,1,1.0
17,7,4,0.16666666666666666
17,18,1,0.3333333333333333
17,14,1,-0.3333333333333333
17,13,1,0.3333333333333333
18,1,5,-0.6
18,11,2,0.5
18,19,1,1.0
18,7,4,0.16666666666666666
18,18,1,0.3333333333333333
18,14,1,-0.3333333333333333
18,13,1,0.3333333333333333
19,1,5,-0.6
19,11,2,0.5
19,19,1,1.0
19,7,4,0.16666666666666666
19,18,1,0.3333333333333333
19,14,1,-0.3333333333333333
19,13,1,0.3333333333333333
20,1,5,-0.6
20,11,2,0.5
20,19,1,1.0
20,7,4,0.16666666666666666
20,18,1,0.3333333333333333
20,14,1,-0.3333333333333333
20,13,1,0.3333333333333333
21,1,5,-0.6
21,11,2,0.5
21,19,1,1.0
