pid,measure,feature,feature_value
71,1,1,0.7471622228622437
71,1,2,0.3231964409351349
71,1,3,0.7435896992683411
71,1,4,0.3432481586933136
71,1,5,0.7332787513732909
71,1,6,0.5550238490104675
71,1,7,0.4807052314281464
71,1,8,0.4110806882381439
71,1,9,0.686738133430481
71,1,10,0.5950324535369873
71,1,11,0.5351627469062805
71,1,12,0.4692034125328064
71,1,13,0.4616761207580566
71,1,14,0.7245839238166809
71,1,15,0.5884673595428467
71,1,16,0.38816386461257935
71,1,17,0.5330013632774353
71,1,18,0.4756167232990265
71,1,19,0.546789288520813
71,2,1,0.764256477355957
71,2,2,0.3261508643627167
71,2,3,0.7379345297813416
71,2,4,0.3542703986167908
71,2,5,0.7326109409332275
71,2,6,0.5581011772155762
71,2,7,0.4878737032413482
71,2,8,0.4080205261707306
71,2,9,0.6872671246528625
71,2,10,0.5965055227279663
71,2,11,0.5330336689949036
71,2,12,0.4688640534877777
71,2,13,0.4484728872776032
71,2,14,0.7216801047325134
71,2,15,0.5875475406646729
71,2,16,0.3762630224227905
71,2,17,0.5210331678390503
71,2,18,0.4796299040317536
71,2,19,0.5492171049118042
71,3,1,0.7493710517883301
71,3,2,0.3226497769355774
71,3,3,0.7461780309677124
71,3,4,0.3566335737705231
71,3,5,0.7429652214050293
71,3,6,0.5624595880508423
71,3,7,0.4912409782409668
71,3,8,0.4075367748737335
71,3,9,0.6867075562477112
71,3,10,0.5970182418823242
71,3,11,0.5378218293190002
71,3,12,0.4574631452560425
71,3,13,0.4613088071346283
71,3,14,0.7296445369720459
71,3,15,0.5876277089118958
71,3,16,0.3790829479694367
71,3,17,0.5212547183036804
71,3,18,0.4871856570243835
71,3,19,0.5511741638183594
71,4,1,0.7584803700447083
71,4,2,0.328814297914505
71,4,3,0.7296136617660522
71,4,4,0.3466056883335113
71,4,5,0.7422158122062683
71,4,6,0.5757001042366028
71,4,7,0.4951379895210266
71,4,8,0.3999629318714142
71,4,9,0.6764956116676331
71,4,10,0.5822526216506958
71,4,11,0.5362304449081421
71,4,12,0.4701796174049378
71,4,13,0.4562246799468994
71,4,14,0.7365046143531799
71,4,15,0.6104698777198792
71,4,16,0.3731661438941956
71,4,17,0.52918940782547
71,4,18,0.4871004521846771
71,4,19,0.5425283312797546
71,5,1,0.7663775086402893
71,5,2,0.33030015230178833
71,5,3,0.7483452558517456
71,5,4,0.3554251492023468
71,5,5,0.7542923092842102
71,5,6,0.577237069606781
71,5,7,0.510917067527771
71,5,8,0.4004304111003876
71,5,9,0.6888092756271362
71,5,10,0.597944974899292
71,5,11,0.535802960395813
71,5,12,0.4751439690589905
71,5,13,0.465356171131134
71,5,14,0.737091600894928
71,5,15,0.6096992492675781
71,5,16,0.36988523602485657
71,5,17,0.5277652740478516
71,5,18,0.488458126783371
71,5,19,0.543391227722168
71,6,1,0.7414409518241882
71,6,2,0.3354545831680298
71,6,3,0.7386482357978821
71,6,4,0.356514036655426
71,6,5,0.7518061399459839
71,6,6,0.5769001841545105
71,6,7,0.505874514579773
71,6,8,0.4105021357536316
71,6,9,0.6808107495307922
71,6,10,0.5968436598777771
71,6,11,0.5398166775703429
71,6,12,0.4738548994064331
71,6,13,0.4579233825206757
71,6,14,0.7484608888626099
71,6,15,0.5883850455284119
71,6,16,0.3796092867851257
71,6,17,0.5288051962852478
71,6,18,0.4873316287994385
71,6,19,0.5426850914955139
71,7,1,0.7232819199562073
71,7,2,0.3385636210441589
71,7,3,0.6985341906547546
71,7,4,0.3721663951873779
71,7,5,0.7184476852416992
71,7,6,0.5913516283035278
71,7,7,0.4927386939525604
71,7,8,0.4158700406551361
71,7,9,0.6619666218757629
71,7,10,0.5939779281616211
71,7,11,0.5414294600486755
