measure,feature,critical_score,feature_value
1,1,1,0.6666666666666666
1,9,1,0.3333333333333333
1,11,1,0.6666666666666666
1,13,2,1.0
1,15,1,1.0
1,18,1,1.0
1,19,1,1.0
1,6,1,0.3333333333333333
1,12,1,0.0
2,1,1,0.6666666666666666
2,9,1,0.3333333333333333
2,11,1,0.6666666666666666
2,13,2,1.0
2,15,1,1.0
2,18,1,1.0
2,19,1,1.0
2,6,1,0.3333333333333333
2,12,1,0.0
3,1,1,0.6666666666666666
3,9,1,0.3333333333333333
3,11,1,0.6666666666666666
3,13,1,1.0
3,15,1,1.0
3,18,1,1.0
3,19,1,1.0
4,1,1,0.6666666666666666
4,9,1,0.3333333333333333
4,11,1,0.6666666666666666
4,13,1,1.0
4,15,1,1.0
4,18,1,1.0
4,19,1,1.0
5,4,1,-0.3333333333333333
5,10,2,0.3333333333333333
5,12,2,0.6666666666666666
5,13,3,0.7777777777777777
5,15,3,-0.11111111111111109
5,16,2,0.6666666666666666
5,17,2,0.6666666666666666
5,18,3,0.7777777777777777
5,1,1,0.6666666666666666
5,9,1,0.3333333333333333
5,11,1,0.6666666666666666
5,19,1,1.0
6,4,1,-0.3333333333333333
6,10,2,0.3333333333333333
6,12,2,0.6666666666666666
6,13,3,0.7777777777777777
6,15,3,-0.11111111111111109
6,16,2,0.6666666666666666
6,17,2,0.6666666666666666
6,18,3,0.7777777777777777
6,1,1,0.6666666666666666
6,9,1,0.3333333333333333
6,11,1,0.6666666666666666
6,19,1,1.0
7,1,2,0.6666666666666666
7,9,1,0.3333333333333333
7,11,1,0.6666666666666666
7,13,1,1.0
7,15,2,1.0
7,18,1,1.0
7,19,1,1.0
7,4,2,0.3333333333333333
8,1,2,0.6666666666666666
8,9,1,0.3333333333333333
8,11,1,0.6666666666666666
8,13,1,1.0
8,15,2,1.0
8,18,1,1.0
8,19,1,1.0
9,1,1,0.6666666666666666
9,9,1,0.3333333333333333
9,11,1,0.6666666666666666
9,13,1,1.0
9,15,1,1.0
9,18,1,1.0
9,19,1,1.0
9,10,1,-0.6
10,1,1,0.6666666666666666
10,9,1,0.3333333333333333
10,11,1,0.6666666666666666
10,13,1,1.0
10,15,1,1.0
10,18,1,1.0
10,19,1,1.0
11,1,1,0.6666666666666666
11,9,1,0.3333333333333333
11,11,1,0.6666666666666666
11,13,1,1.0
11,15,1,1.0
11,18,1,1.0
11,19,1,1.0
12,1,1,0.6666666666666666
12,9,1,0.3333333333333333
12,11,1,0.6666666666666666
12,13,1,1.0
12,15,1,1.0
12,18,1,1.0
12,19,1,1.0
13,19,2,1.0
13,1,1,0.6666666666666666
13,9,1,0.3333333333333333
13,11,1,0.6666666666666666
13,13,2,1.0
13,15,2,1.0
13,18,1,1.0
14,19,2,1.0
14,1,1,0.6666666666666666
14,9,1,0.3333333333333333
14,11,1,0.6666666666666666
14,13,2,1.0
14,15,2,1.0
14,18,1,1.0
15,1,1,0.6666666666666666
15,9,1,0.3333333333333333
15,11,1,0.6666666666666666
15,13,2,1.0
15,15,2,1.0
15,18,1,1.0
15,19,1,1.0
16,1,1,0.6666666666666666
16,9,1,0.3333333333333333
16,11,1,0.6666666666666666
16,13,2,1.0
16,15,2,1.0
16,18,1,1.0
16,19,1,1.0
17,1,1,0.6666666666666666
17,9,1,0.3333333333333333
17,11,2,0.7333333333333334
17,13,1,1.0
17,15,2,0.9
17,18,1,1.0
17,19,1,1.0
17,12,1,-0.3333333333333333
18,1,1,0.6666666666666666
18,9,1,0.3333333333333333
18,11,2,0.7333333333333334
18,13,1,1.0
18,15,2,0.9
18,18,1,1.0
18,19,1,1.0
19,1,1,0.6666666666666666
19,9,1,0.3333333333333333
19,11,2,0.7333333333333334
19,13,1,1.0
19,15,2,0.9
19,18,1,1.0
19,19,1,1.0
19,7,1,0.3333333333333333
19,4,1,0.0
20,1,1,0.6666666666666666
20,9,1,0.3333333333333333
20,11,2,0.7333333333333334
20,13,1,1.0
20,15,2,0.9
20,18,1,1.0
20,19,1,1.0
20,7,1,0.3333333333333333
20,4,1,0.0
21,1,1,0.6666666666666666
21,9,1,0.3333333333333333
21,11,2,0.7333333333333334
21,13,1,1.0
21,15,2,0.9
21,18,1,1.0
21,19,1,1.0
22,1,1,0.6666666666666666
22,9,1,0.3333333333333333
22,11,2,0.7333333333333334
22,13,1,1.0
22,15,2,0.9
22,18,1,1.0
22,19,1,1.0
23,1,1,0.6666666666666666
23,9,1,0.3333333333333333
23,11,2,0.7333333333333334
23,13,1,1.0
23,15,2,0.9
23,18,1,1.0
23,19,1,1.0
24,1,1,0.6666666666666666
24,9,1,0.3333333333333333
24,11,2,0.7333333333333334
24,13,1,1.0
24,15,2,0.9
24,18,1,1.0
24,19,1,1.0
25,1,3,-0.3333333333333333
25,9,1,0.3333333333333333
25,11,1,0.6666666666666666
25,13,1,1.0
25,15,1,1.0
25,18,1,1.0
25,19,1,1.0
25,6,1,1.0
26,1,4,-0.16666666666666663
