measure,feature,feature_value,critical_score
7.0,4.0,0.6666666666666666,1
8.0,4.0,null,3
8.0,5.0,null,1
9.0,4.0,null,3
9.0,5.0,null,1
10.0,4.0,null,3
10.0,5.0,null,1
11.0,4.0,null,1
11.0,5.0,null,1
16.0,8.0,null,1
17.0,8.0,null,1
18.0,8.0,null,1
19.0,8.0,null,1
20.0,10.0,null,1
21.0,10.0,null,1
21.0,11.0,0.7333333333333334,1
22.0,10.0,null,1
22.0,11.0,0.7333333333333334,2
23.0,10.0,null,1
23.0,11.0,0.7333333333333334,3
24.0,11.0,0.7333333333333334,3
25.0,11.0,0.6666666666666666,2
26.0,11.0,0.6666666666666666,1
27.0,11.0,0.6666666666666666,1
28.0,11.0,0.6666666666666666,2
29.0,8.0,null,1
29.0,10.0,null,1
29.0,11.0,0.6666666666666666,3
30.0,8.0,null,1
30.0,10.0,null,1
30.0,11.0,0.6666666666666666,3
31.0,8.0,null,1
31.0,10.0,null,1
31.0,11.0,0.6666666666666666,2
32.0,8.0,null,1
32.0,10.0,null,1
32.0,11.0,0.6666666666666666,1
33.0,9.0,0.3333333333333333,1
34.0,9.0,0.3333333333333333,1
34.0,11.0,0.6666666666666666,1
35.0,9.0,0.3333333333333333,1
35.0,11.0,0.6666666666666666,2
36.0,9.0,0.3333333333333333,1
36.0,11.0,0.6666666666666666,3
37.0,11.0,0.6666666666666666,4
37.0,15.0,1.0,1
37.0,16.0,null,1
38.0,11.0,0.6666666666666666,4
38.0,15.0,1.0,2
38.0,16.0,null,2
39.0,1.0,0.6666666666666666,1
39.0,2.0,null,1
39.0,4.0,0.0,1
39.0,6.0,1.0,1
39.0,7.0,0.0,1
39.0,8.0,null,1
39.0,11.0,0.6666666666666666,6
39.0,12.0,null,1
39.0,13.0,1.0,1
39.0,15.0,1.0,3
39.0,16.0,null,3
39.0,17.0,null,1
39.0,18.0,1.0,1
40.0,1.0,0.6666666666666666,3
40.0,2.0,null,3
40.0,4.0,0.0,3
40.0,6.0,1.0,3
40.0,7.0,0.0,3
40.0,8.0,null,3
40.0,11.0,0.6666666666666666,8
40.0,12.0,null,3
40.0,13.0,1.0,3
40.0,15.0,1.0,5
40.0,16.0,null,5
40.0,17.0,null,3
40.0,18.0,1.0,3
41.0,1.0,0.6666666666666666,5
41.0,2.0,null,5
41.0,4.0,0.0,6
41.0,6.0,1.0,6
41.0,7.0,0.0,5
41.0,8.0,null,6
41.0,11.0,0.6666666666666666,9
41.0,12.0,null,6
41.0,13.0,1.0,5
41.0,15.0,1.0,7
41.0,16.0,null,7
41.0,17.0,null,6
41.0,18.0,1.0,6
42.0,1.0,0.6666666666666666,5
42.0,2.0,null,5
42.0,4.0,null,6
42.0,6.0,null,6
42.0,7.0,null,5
42.0,8.0,null,6
42.0,11.0,0.6666666666666666,6
42.0,12.0,null,6
42.0,13.0,1.0,5
42.0,15.0,1.0,6
42.0,16.0,null,6
42.0,17.0,null,6
42.0,18.0,1.0,6
43.0,1.0,0.6666666666666666,3
43.0,2.0,null,3
43.0,4.0,null,3
43.0,6.0,null,3
43.0,7.0,null,2
43.0,8.0,null,3
43.0,11.0,0.6666666666666666,3
43.0,12.0,null,3
43.0,13.0,1.0,2
43.0,15.0,1.0,3
43.0,16.0,null,3
43.0,17.0,null,3
43.0,18.0,1.0,3
44.0,1.0,0.6666666666666666,1
44.0,2.0,null,1
44.0,4.0,null,1
44.0,6.0,null,1
44.0,7.0,null,1
44.0,8.0,null,1
44.0,11.0,0.6666666666666666,1
44.0,12.0,null,1
44.0,15.0,1.0,1
44.0,16.0,null,1
44.0,17.0,null,1
44.0,18.0,1.0,1
45.0,2.0,null,1
45.0,4.0,null,3
45.0,7.0,null,3
45.0,8.0,null,2
45.0,9.0,0.3333333333333333,1
45.0,11.0,0.6666666666666666,2
45.0,14.0,null,2
45.0,16.0,null,2
45.0,17.0,null,2
46.0,2.0,null,1
46.0,4.0,null,3
46.0,7.0,null,3
46.0,8.0,null,2
46.0,9.0,0.3333333333333333,1
46.0,11.0,0.6666666666666666,2
46.0,14.0,null,2
46.0,16.0,null,3
46.0,17.0,null,2
47.0,2.0,null,1
47.0,4.0,null,2
47.0,7.0,null,2
47.0,8.0,null,1
47.0,11.0,0.6666666666666666,2
47.0,14.0,null,2
47.0,16.0,null,3
47.0,17.0,null,1
48.0,2.0,null,1
48.0,4.0,null,1
48.0,7.0,null,1
48.0,8.0,null,1
48.0,11.0,0.6666666666666666,1
48.0,14.0,null,1
48.0,16.0,null,2
48.0,17.0,null,1
49.0,8.0,null,1
49.0,16.0,null,1
50.0,8.0,null,1
51.0,8.0,null,1
52.0,8.0,null,1
53.0,1.0,0.6666666666666666,2
53.0,4.0,-0.6666666666666666,2
53.0,5.0,-0.6666666666666666,2
53.0,6.0,null,1
53.0,7.0,null,1
53.0,11.0,0.6666666666666666,2
53.0,12.0,null,2
53.0,16.0,null,2
53.0,17.0,null,2
54.0,1.0,0.6666666666666666,5
54.0,4.0,-0.6666666666666666,5
54.0,5.0,-0.6666666666666666,5
54.0,6.0,null,2
54.0,7.0,null,2
54.0,8.0,null,2
54.0,11.0,0.6666666666666666,5
54.0,12.0,null,5
54.0,14.0,null,1
54.0,16.0,null,5
54.0,17.0,null,3
55.0,1.0,0.6666666666666666,5
55.0,4.0,null,6
55.0,5.0,null,6
55.0,6.0,null,2
55.0,7.0,null,2
55.0,8.0,null,2
55.0,11.0,0.6666666666666666,6
55.0,12.0,null,5
55.0,14.0,null,1
55.0,16.0,null,5
55.0,17.0,null,3
56.0,1.0,0.6666666666666666,3
56.0,4.0,null,6
56.0,5.0,null,6
56.0,6.0,null,2
56.0,7.0,null,2
56.0,8.0,null,2
56.0,11.0,0.6666666666666666,6
56.0,12.0,null,3
56.0,14.0,null,1
56.0,16.0,null,3
56.0,17.0,null,2
57.0,1.0,0.6666666666666666,1
57.0,4.0,null,4
57.0,5.0,null,4
57.0,6.0,null,1
57.0,8.0,null,2
57.0,11.0,0.6666666666666666,4
57.0,12.0,null,1
57.0,14.0,null,1
57.0,16.0,null,1
57.0,17.0,null,1
58.0,4.0,null,3
58.0,5.0,null,3
58.0,8.0,null,1
58.0,11.0,0.6666666666666666,3
59.0,4.0,null,1
59.0,5.0,null,1
59.0,8.0,null,1
59.0,11.0,0.6666666666666666,1
62.0,10.0,null,1
62.0,16.0,null,1
63.0,10.0,null,2
63.0,11.0,0.6666666666666666,1
63.0,16.0,null,2
64.0,10.0,null,2
64.0,11.0,0.6666666666666666,2
64.0,16.0,null,4
65.0,5.0,null,1
65.0,8.0,null,1
65.0,10.0,-0.6,4
65.0,11.0,0.6666666666666666,4
65.0,15.0,1.0,1
65.0,16.0,null,6
66.0,5.0,null,1
66.0,8.0,null,2
66.0,10.0,-0.6,5
66.0,11.0,0.6666666666666666,6
66.0,15.0,1.0,1
66.0,16.0,null,7
67.0,5.0,null,1
67.0,8.0,null,2
67.0,10.0,null,6
67.0,11.0,0.6666666666666666,7
67.0,15.0,1.0,1
67.0,16.0,null,5
68.0,5.0,null,1
68.0,8.0,null,2
68.0,10.0,null,7
68.0,11.0,0.6666666666666666,7
68.0,15.0,1.0,1
68.0,16.0,null,4
69.0,4.0,null,2
69.0,7.0,null,2
69.0,8.0,null,3
69.0,10.0,null,7
69.0,11.0,0.6666666666666666,5
69.0,16.0,null,4
69.0,17.0,null,2
70.0,4.0,null,2
70.0,7.0,null,4
70.0,8.0,null,5
70.0,10.0,null,8
70.0,11.0,0.6666666666666666,4
70.0,16.0,null,6
70.0,17.0,null,4
71.0,4.0,null,2
71.0,7.0,null,4
71.0,8.0,null,5
71.0,10.0,null,8
71.0,11.0,0.6666666666666666,4
71.0,16.0,null,7
71.0,17.0,null,5
72.0,4.0,null,1
72.0,7.0,null,2
72.0,8.0,null,3
72.0,10.0,null,7
72.0,11.0,0.6666666666666666,4
72.0,16.0,null,5
72.0,17.0,null,4
73.0,8.0,null,1
73.0,10.0,null,7
73.0,11.0,0.6666666666666666,5
73.0,16.0,null,3
73.0,17.0,null,2
74.0,10.0,null,7
74.0,11.0,0.6666666666666666,4
74.0,16.0,null,2
74.0,17.0,null,1
75.0,3.0,null,1
75.0,10.0,null,7
75.0,11.0,0.6666666666666666,3
75.0,16.0,null,2
75.0,17.0,null,1
76.0,3.0,null,1
76.0,10.0,null,7
76.0,11.0,0.6666666666666666,3
76.0,16.0,null,3
76.0,17.0,null,1
77.0,3.0,null,4
77.0,4.0,null,1
77.0,5.0,null,1
77.0,8.0,null,2
77.0,9.0,0.3333333333333333,3
77.0,10.0,null,7
77.0,11.0,0.6666666666666666,5
77.0,12.0,null,2
77.0,14.0,null,1
77.0,16.0,null,5
77.0,17.0,null,3
78.0,3.0,null,6
78.0,4.0,null,3
78.0,5.0,null,1
78.0,8.0,null,2
78.0,9.0,0.3333333333333333,6
78.0,10.0,null,7
78.0,11.0,0.6666666666666666,8
78.0,12.0,null,4
78.0,14.0,null,1
78.0,16.0,null,5
78.0,17.0,null,5
79.0,3.0,null,7
79.0,4.0,null,6
79.0,5.0,null,1
79.0,8.0,null,2
79.0,9.0,0.3333333333333333,5
79.0,10.0,null,8
79.0,11.0,0.6666666666666666,6
79.0,12.0,null,4
79.0,14.0,null,1
79.0,16.0,null,3
79.0,17.0,null,7
80.0,3.0,null,6
80.0,4.0,null,6
80.0,5.0,null,1
80.0,8.0,null,1
80.0,9.0,null,3
80.0,10.0,null,6
80.0,11.0,null,3
80.0,12.0,null,3
80.0,14.0,null,1
80.0,16.0,null,1
80.0,17.0,null,6
81.0,3.0,null,3
81.0,4.0,null,3
81.0,9.0,null,1
81.0,10.0,null,3
81.0,11.0,null,1
81.0,12.0,null,1
81.0,17.0,null,3
82.0,3.0,null,1
82.0,4.0,null,1
82.0,10.0,null,1
82.0,17.0,null,1
