pid,measure,feature,feature_value
58,1,1,0.8820168375968933
58,1,2,0.32280802726745605
58,1,3,0.6414093375205994
58,1,4,0.28971296548843384
58,1,5,0.6843910217285156
58,1,6,0.593926191329956
58,1,7,0.3986730575561523
58,1,8,0.37982815504074097
58,1,9,0.6933708190917969
58,1,10,0.5603493452072144
58,1,11,0.5730077028274536
58,1,12,0.5382384657859802
58,1,13,0.4000117778778076
58,1,14,0.6682852506637573
58,1,15,0.7644302248954773
58,1,16,0.4081787168979645
58,1,17,0.5399121046066284
58,1,18,0.4964452385902405
58,1,19,0.564132034778595
58,2,1,0.8764445781707764
58,2,2,0.3238715529441833
58,2,3,0.6372456550598145
58,2,4,0.2975141406059265
58,2,5,0.685309648513794
58,2,6,0.6046668887138367
58,2,7,0.4008907377719879
58,2,8,0.3842638432979584
58,2,9,0.6927878856658936
58,2,10,0.5600205063819885
58,2,11,0.5737670063972473
58,2,12,0.531024158000946
58,2,13,0.3995150029659271
58,2,14,0.6668703556060791
58,2,15,0.7670093774795532
58,2,16,0.4061696231365204
58,2,17,0.5394696593284607
58,2,18,0.4946340024471283
58,2,19,0.5625737309455872
58,3,1,0.8799867033958435
58,3,2,0.32217106223106384
58,3,3,0.6371217966079712
58,3,4,0.2892956435680389
58,3,5,0.6888206005096436
58,3,6,0.6026521325111389
58,3,7,0.3987252414226532
58,3,8,0.3793245851993561
58,3,9,0.6885026693344116
58,3,10,0.5580621361732483
58,3,11,0.5735290050506592
58,3,12,0.5362099409103394
58,3,13,0.4073643386363983
58,3,14,0.6718063354492188
58,3,15,0.7724140286445618
58,3,16,0.40618541836738586
58,3,17,0.5443919897079468
58,3,18,0.4955949187278748
58,3,19,0.5612949728965759
58,4,1,0.8890868425369263
58,4,2,0.3253714740276337
58,4,3,0.639338493347168
58,4,4,0.2901103794574737
58,4,5,0.6905845403671265
58,4,6,0.598170280456543
58,4,7,0.4117431640625
58,4,8,0.3807395696640015
58,4,9,0.6888597011566162
58,4,10,0.5581873655319214
58,4,11,0.5658600926399231
58,4,12,0.5468502044677734
58,4,13,0.4058654308319092
58,4,14,0.6685933470726013
58,4,15,0.7796244621276855
58,4,16,0.4040451347827912
58,4,17,0.5397331118583679
58,4,18,0.5003255605697632
58,4,19,0.561150848865509
58,5,1,0.88514643907547
58,5,2,0.32012125849723816
58,5,3,0.6413702368736267
58,5,4,0.2903863489627838
58,5,5,0.6876773834228516
58,5,6,0.5983381271362305
58,5,7,0.3971449434757233
58,5,8,0.3824240267276764
58,5,9,0.6946327686309814
58,5,10,0.5558323264122009
58,5,11,0.5638489723205566
58,5,12,0.5417091846466064
58,5,13,0.4059553742408752
58,5,14,0.662752628326416
58,5,15,0.779559850692749
58,5,16,0.4064284265041351
58,5,17,0.5346887111663818
58,5,18,0.4987201094627381
58,5,19,0.5592347979545593
58,6,1,0.8871349692344666
58,6,2,0.3170557916164398
58,6,3,0.6422330737113953
58,6,4,0.29300984740257263
58,6,5,0.6857615113258362
58,6,6,0.5961066484451294
58,6,7,0.3973358869552612
58,6,8,0.3835144340991974
58,6,9,0.693979024887085
58,6,10,0.5541231632232666
58,6,11,0.5657511353492737
58,6,12,0.5396226644515991
58,6,13,0.4029300808906555
58,6,14,0.6715621948242188
58,6,15,0.7736143469810486
58,6,16,0.4040074050426483
58,6,17,0.5346392393112183
58,6,18,0.49284827709198
58,6,19,0.5630494356155396
58,7,1,0.8836631178855896
58,7,2,0.3238670527935028
58,7,3,0.6448834538459778
58,7,4,0.2892636954784393
58,7,5,0.6898899674415588
58,7,6,0.5944775342941284
58,7,7,0.3994685709476471
58,7,8,0.37458574771881104
58,7,9,0.6904869079589844
58,7,10,0.5576231479644775
58,7,11,0.5712122321128845
58,7,12,0.5441018342971802
58,7,13,0.4046781659126282
58,7,14,0.674116849899292
58,7,15,0.7719905376434326
58,7,16,0.4086090326309204
58,7,17,0.5393378138542175
58,7,18,0.4962118268013001
58,7,19,0.560486376285553
58,8,1,0.8813183307647705
58,8,2,0.3212366998195648
58,8,3,0.6474488973617554
58,8,4,0.2969173192977905
58,8,5,0.6939647197723389
58,8,6,0.5988469123840332
58,8,7,0.4009246826171875
58,8,8,0.3836655616760254
58,8,9,0.6981406211853027
58,8,10,0.5603130459785461
58,8,11,0.5691156983375549
58,8,12,0.5338734984397888
58,8,13,0.396344929933548
58,8,14,0.6666056513786316
58,8,15,0.7789310216903687
58,8,16,0.4069364070892334
58,8,17,0.5397182106971741
58,8,18,0.5044854879379272
58,8,19,0.5626763105392456
58,9,1,0.8780035376548767
58,9,2,0.31782886385917664
58,9,3,0.6414740681648254
58,9,4,0.2929319441318512
58,9,5,0.6852169036865234
58,9,6,0.5995460748672485
58,9,7,0.3935343325138092
58,9,8,0.3822360634803772
58,9,9,0.6927201151847839
58,9,10,0.5578895807266235
58,9,11,0.5758973956108093
58,9,12,0.5322766304016113
58,9,13,0.39934369921684265
58,9,14,0.6690773367881775
58,9,15,0.7672384977340698
58,9,16,0.40476340055465704
58,9,17,0.53993159532547
58,9,18,0.4910570681095123
58,9,19,0.562691330909729
58,10,1,0.8794686198234558
58,10,2,0.32304883003234863
58,10,3,0.6377996802330017
58,10,4,0.2966674566268921
58,10,5,0.6869899034500122
58,10,6,0.599890410900116
58,10,7,0.4028638303279877
58,10,8,0.3819820880889893
58,10,9,0.6901401281356812
58,10,10,0.5600870847702026
58,10,11,0.5715395212173462
58,10,12,0.5329902172088623
58,10,13,0.3979240357875824
58,10,14,0.6684494018554688
58,10,15,0.7711909413337708
58,10,16,0.4063017666339874
58,10,17,0.5426193475723267
58,10,18,0.496579647064209
58,10,19,0.5647935271263123
58,11,1,0.8778585195541382
58,11,2,0.3230505883693695
58,11,3,0.6473767161369324
58,11,4,0.2895138263702393
58,11,5,0.6919956207275391
58,11,6,0.5978057980537415
58,11,7,0.4000176191329956
58,11,8,0.3742257058620453
58,11,9,0.6918885707855225
58,11,10,0.5631731152534485
58,11,11,0.5745032429695129
58,11,12,0.540103018283844
58,11,13,0.40837210416793823
58,11,14,0.6750178933143616
58,11,15,0.7685477733612059
58,11,16,0.4057818353176117
58,11,17,0.5410129427909851
58,11,18,0.495478868484497
58,11,19,0.5624597072601318
58,12,1,0.8800462484359741
58,12,2,0.3202062547206879
58,12,3,0.6333438754081726
58,12,4,0.29315078258514404
58,12,5,0.6866640448570251
58,12,6,0.6020820140838623
58,12,7,0.4027825593948364
58,12,8,0.38427865505218506
58,12,9,0.6936566233634949
58,12,10,0.5551453828811646
58,12,11,0.5689893960952759
58,12,12,0.5363902449607849
58,12,13,0.4015341699123383
58,12,14,0.665696382522583
58,12,15,0.7752135992050171
58,12,16,0.4054622352123261
58,12,17,0.5407216548919678
58,12,18,0.4962367415428162
58,12,19,0.5629320740699768
58,13,1,0.8833729028701782
58,13,2,0.3214912414550781
58,13,3,0.6475164294242859
58,13,4,0.2955986559391022
58,13,5,0.6882396936416626
58,13,6,0.5948667526245117
58,13,7,0.39907464385032654
58,13,8,0.3840388953685761
58,13,9,0.6949079632759094
58,13,10,0.5561673641204834
58,13,11,0.5693787336349487
58,13,12,0.5358213782310486
58,13,13,0.4001924991607666
58,13,14,0.6700572967529297
58,13,15,0.7697671055793762
58,13,16,0.4068983495235443
58,13,17,0.5391489267349243
58,13,18,0.495069146156311
58,13,19,0.5624629259109497
58,14,1,0.8803581595420837
58,14,2,0.32141751050949097
58,14,3,0.6450327038764954
58,14,4,0.2985979914665222
58,14,5,0.6886168718338013
58,14,6,0.5983570218086243
58,14,7,0.4021475911140442
58,14,8,0.3845247924327849
58,14,9,0.6941609382629395
58,14,10,0.5635213255882263
58,14,11,0.5696792006492615
58,14,12,0.5342371463775635
58,14,13,0.3982415497303009
58,14,14,0.6669799089431763
58,14,15,0.7732412815093994
58,14,16,0.4094491004943848
58,14,17,0.5402691364288329
58,14,18,0.4979727566242218
58,14,19,0.56387859582901
58,15,1,0.879752516746521
58,15,2,0.31877401471138
58,15,3,0.6480684280395508
58,15,4,0.29588964581489563
58,15,5,0.6872966289520264
58,15,6,0.5928030610084534
58,15,7,0.3951462209224701
58,15,8,0.38424888253211975
