pid,measure
11.0,5
11.0,16
11.0,17
11.0,25
11.0,26
11.0,27
11.0,41
11.0,42
11.0,43
11.0,44
11.0,45
11.0,88
11.0,97
11.0,98
11.0,99
11.0,100
11.0,101
11.0,102
11.0,103
11.0,104
11.0,129
11.0,130
11.0,131
11.0,132
11.0,133
11.0,134
11.0,135
11.0,136
11.0,147
11.0,193
11.0,194
11.0,201
11.0,202
11.0,203
11.0,204
11.0,205
11.0,206
11.0,207
11.0,208
11.0,209
11.0,210
11.0,211
11.0,212
11.0,213
11.0,214
11.0,215
11.0,216
11.0,217
11.0,218
11.0,233
11.0,241
11.0,242
11.0,243
11.0,244
11.0,245
11.0,246
11.0,247
11.0,248
12.0,1
12.0,2
12.0,3
12.0,4
12.0,5
12.0,6
12.0,20
12.0,30
12.0,31
12.0,32
12.0,41
12.0,42
12.0,43
12.0,44
12.0,45
12.0,46
12.0,53
12.0,65
12.0,66
12.0,67
12.0,68
12.0,69
12.0,95
12.0,97
12.0,98
12.0,99
12.0,100
12.0,101
12.0,105
12.0,106
12.0,107
12.0,108
12.0,109
12.0,110
12.0,111
12.0,130
12.0,135
12.0,145
12.0,146
12.0,147
12.0,151
12.0,161
12.0,162
12.0,163
12.0,164
12.0,165
12.0,166
12.0,167
12.0,168
12.0,169
12.0,170
12.0,171
12.0,172
12.0,173
12.0,174
12.0,175
12.0,176
12.0,179
12.0,185
12.0,186
12.0,187
12.0,188
12.0,189
12.0,190
12.0,191
12.0,192
12.0,212
12.0,213
12.0,214
12.0,215
12.0,216
12.0,220
12.0,237
12.0,238
12.0,239
12.0,240
12.0,263
12.0,289
12.0,290
12.0,291
12.0,292
13.0,1
13.0,2
13.0,3
13.0,4
13.0,5
13.0,6
13.0,10
13.0,11
13.0,12
13.0,40
13.0,49
13.0,66
13.0,67
13.0,68
13.0,69
13.0,90
13.0,91
13.0,92
13.0,93
13.0,106
13.0,107
13.0,108
13.0,109
13.0,110
13.0,111
13.0,114
13.0,115
13.0,116
13.0,117
13.0,118
13.0,119
13.0,135
13.0,145
13.0,146
13.0,147
13.0,148
13.0,149
13.0,150
13.0,151
13.0,152
13.0,160
13.0,161
13.0,162
13.0,163
13.0,164
13.0,165
13.0,214
13.0,215
13.0,216
13.0,256
13.0,257
13.0,258
13.0,259
13.0,260
13.0,261
13.0,262
13.0,263
13.0,278
13.0,279
13.0,303
13.0,304
14.0,4
14.0,17
14.0,18
14.0,19
14.0,20
14.0,21
14.0,26
14.0,27
14.0,28
14.0,29
14.0,30
14.0,31
14.0,32
14.0,38
14.0,50
14.0,51
14.0,52
14.0,53
14.0,54
14.0,55
14.0,56
14.0,81
14.0,82
14.0,83
14.0,84
14.0,85
14.0,86
14.0,87
14.0,88
14.0,89
14.0,90
14.0,91
14.0,92
14.0,93
14.0,108
14.0,128
14.0,145
14.0,146
14.0,147
14.0,148
14.0,149
14.0,157
14.0,177
14.0,178
14.0,179
14.0,180
14.0,181
14.0,182
14.0,183
14.0,184
14.0,206
14.0,215
14.0,233
14.0,234
14.0,235
14.0,236
14.0,237
14.0,238
14.0,239
14.0,240
14.0,241
14.0,242
14.0,243
14.0,244
14.0,245
14.0,246
14.0,247
14.0,248
14.0,249
14.0,250
14.0,251
14.0,252
14.0,253
14.0,254
14.0,255
14.0,256
14.0,257
14.0,258
14.0,259
14.0,260
14.0,261
14.0,262
14.0,263
14.0,271
14.0,299
14.0,300
14.0,301
14.0,302
15.0,1
15.0,2
15.0,3
15.0,4
15.0,5
15.0,18
15.0,33
15.0,34
15.0,35
15.0,36
15.0,37
15.0,38
15.0,39
15.0,40
15.0,46
15.0,50
15.0,51
15.0,52
15.0,53
15.0,54
15.0,55
15.0,69
15.0,81
15.0,82
15.0,83
15.0,84
15.0,85
15.0,86
15.0,87
15.0,88
15.0,89
15.0,90
15.0,91
15.0,92
15.0,93
15.0,113
15.0,114
15.0,115
15.0,116
15.0,117
15.0,118
15.0,119
15.0,120
15.0,121
15.0,122
15.0,123
15.0,124
15.0,125
15.0,126
15.0,127
15.0,128
15.0,145
15.0,146
15.0,147
15.0,148
15.0,149
15.0,150
15.0,151
15.0,152
15.0,161
15.0,162
15.0,163
15.0,164
15.0,165
15.0,166
15.0,167
15.0,168
15.0,169
15.0,170
15.0,171
15.0,172
15.0,173
15.0,174
15.0,175
15.0,176
15.0,177
15.0,178
15.0,179
15.0,180
15.0,181
15.0,182
15.0,183
15.0,184
15.0,201
15.0,202
15.0,203
15.0,204
15.0,205
15.0,206
15.0,207
15.0,208
15.0,214
15.0,215
15.0,216
15.0,233
15.0,234
15.0,235
15.0,236
15.0,237
15.0,238
15.0,239
15.0,240
15.0,262
15.0,263
15.0,271
15.0,272
