pid,measure
45.0,5
45.0,6
45.0,25
45.0,26
45.0,35
45.0,36
45.0,53
45.0,54
46.0,1
46.0,2
46.0,3
46.0,4
46.0,5
46.0,6
46.0,7
46.0,8
46.0,9
46.0,10
46.0,11
46.0,12
46.0,13
46.0,14
46.0,15
46.0,16
46.0,17
46.0,18
46.0,19
46.0,20
46.0,21
46.0,22
46.0,23
46.0,24
46.0,25
46.0,26
46.0,27
46.0,28
46.0,29
46.0,30
46.0,31
46.0,32
46.0,33
46.0,34
46.0,35
46.0,36
46.0,37
46.0,38
46.0,39
46.0,40
46.0,41
46.0,42
46.0,43
46.0,44
46.0,45
46.0,46
46.0,47
46.0,48
46.0,49
46.0,50
46.0,51
46.0,52
46.0,53
46.0,54
46.0,55
46.0,56
46.0,57
46.0,58
46.0,59
46.0,60
46.0,61
46.0,62
46.0,63
46.0,64
46.0,65
46.0,66
46.0,67
46.0,68
46.0,69
46.0,70
46.0,71
46.0,72
46.0,73
46.0,74
46.0,75
46.0,76
46.0,77
46.0,78
46.0,79
47.0,1
47.0,2
47.0,13
47.0,14
47.0,33
47.0,34
47.0,35
47.0,36
47.0,59
47.0,60
47.0,70
48.0,17
48.0,18
48.0,19
48.0,20
48.0,21
48.0,22
48.0,23
48.0,24
48.0,25
48.0,26
48.0,27
48.0,28
48.0,29
48.0,30
48.0,31
48.0,32
48.0,33
48.0,34
48.0,35
48.0,36
49.0,1
49.0,2
49.0,15
49.0,16
49.0,31
49.0,32
49.0,33
49.0,34
49.0,35
49.0,36
49.0,42
49.0,59
49.0,60
50.0,7
50.0,21
50.0,22
50.0,35
50.0,36
50.0,37
50.0,38
50.0,39
50.0,40
50.0,41
50.0,47
50.0,48
50.0,65
50.0,66
51.0,7
51.0,8
51.0,9
51.0,10
51.0,13
51.0,14
51.0,15
51.0,16
51.0,48
51.0,55
51.0,56
51.0,70
51.0,77
51.0,78
52.0,1
52.0,2
52.0,3
52.0,4
52.0,9
52.0,26
52.0,33
52.0,34
52.0,35
52.0,36
52.0,47
52.0,48
52.0,69
52.0,70
53.0,26
54.0,17
54.0,31
54.0,36
54.0,37
54.0,38
54.0,39
54.0,40
54.0,41
54.0,60
55.0,1
55.0,2
55.0,60
57.0,2
57.0,42
57.0,60
58.0,7
58.0,19
58.0,20
58.0,38
58.0,42
58.0,43
58.0,44
58.0,45
58.0,46
58.0,47
58.0,48
58.0,65
58.0,66
59.0,48
60.0,2
60.0,9
60.0,37
60.0,38
60.0,39
60.0,40
60.0,41
60.0,47
60.0,55
60.0,63
60.0,64
60.0,65
60.0,66
