pid,measure,feature,suggestion,observation
46.0,1,1,0.6666666666666666,1.0
46.0,1,9,0.3333333333333333,1.0
46.0,1,11,0.6666666666666666,-1.0
46.0,1,13,1.0,-1.0
46.0,1,15,1.0,-0.6666666666666666
46.0,1,18,1.0,-1.0
49.0,1,6,0.3333333333333333,-0.3333333333333333
49.0,1,13,1.0,-1.0
55.0,1,12,0.0,-0.6666666666666666
46.0,2,1,0.6666666666666666,1.0
46.0,2,9,0.3333333333333333,1.0
46.0,2,11,0.6666666666666666,-1.0
46.0,2,13,1.0,-1.0
46.0,2,15,1.0,-0.6666666666666666
46.0,2,18,1.0,-1.0
49.0,2,6,0.3333333333333333,-0.3333333333333333
49.0,2,13,1.0,-1.0
55.0,2,12,0.0,-0.6666666666666666
46.0,3,1,0.6666666666666666,1.0
46.0,3,9,0.3333333333333333,1.0
46.0,3,11,0.6666666666666666,-1.0
46.0,3,13,1.0,-1.0
46.0,3,15,1.0,-0.6666666666666666
46.0,3,18,1.0,-1.0
46.0,4,1,0.6666666666666666,1.0
46.0,4,9,0.3333333333333333,1.0
46.0,4,11,0.6666666666666666,-1.0
46.0,4,13,1.0,-1.0
46.0,4,15,1.0,-0.6666666666666666
46.0,4,18,1.0,-1.0
45.0,5,4,-0.3333333333333333,0.6666666666666666
46.0,5,10,0.3333333333333333,1.0
46.0,5,12,0.6666666666666666,-0.6666666666666666
46.0,5,13,0.6666666666666666,-0.6666666666666666
46.0,5,15,-0.6666666666666666,0.3333333333333333
46.0,5,16,0.6666666666666666,1.0
46.0,5,17,0.6666666666666666,1.0
46.0,5,18,0.6666666666666666,-0.6666666666666666
46.0,5,10,0.3333333333333333,1.0
46.0,5,12,0.6666666666666666,-0.6666666666666666
46.0,5,13,0.6666666666666666,-0.6666666666666666
46.0,5,15,-0.6666666666666666,0.3333333333333333
46.0,5,16,0.6666666666666666,1.0
46.0,5,17,0.6666666666666666,1.0
46.0,5,18,0.6666666666666666,-0.6666666666666666
46.0,5,1,0.6666666666666666,1.0
46.0,5,9,0.3333333333333333,1.0
46.0,5,11,0.6666666666666666,-1.0
46.0,5,13,1.0,-1.0
46.0,5,15,1.0,-0.6666666666666666
46.0,5,18,1.0,-1.0
45.0,6,4,-0.3333333333333333,0.6666666666666666
46.0,6,10,0.3333333333333333,1.0
46.0,6,12,0.6666666666666666,-0.6666666666666666
46.0,6,13,0.6666666666666666,-0.6666666666666666
