pid,feature,standard_measures,result_measures,intersection,IoU,Precision,Recall,F1,Coverage
53,1.0,[26],"[21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 41.0, 42.0, 43.0, 44.0, 45.0, 51.0, 52.0, 53.0, 54.0, 55.0]",[26],0.05,0.05,1.0,0.095,1.0
53,4.0,[],"[37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 56.0, 57.0, 58.0, 59.0]",[],0.0,0.0,0.0,0.0,0.0
53,5.0,[],"[53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 66.0, 67.0, 68.0]",[],0.0,0.0,0.0,0.0,0.0
53,6.0,[],"[31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0]",[],0.0,0.0,0.0,0.0,0.0
53,7.0,[],"[37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0]",[],0.0,0.0,0.0,0.0,0.0
53,8.0,[],"[41.0, 42.0, 43.0, 44.0, 45.0, 66.0, 67.0, 68.0, 69.0, 70.0, 71.0, 72.0, 73.0]",[],0.0,0.0,0.0,0.0,0.0
53,9.0,[],"[31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 76.0, 77.0, 78.0, 79.0]",[],0.0,0.0,0.0,0.0,0.0
53,10.0,[],"[66.0, 67.0, 68.0, 69.0, 70.0, 71.0, 72.0, 73.0, 74.0, 75.0, 76.0, 77.0, 78.0, 79.0]",[],0.0,0.0,0.0,0.0,0.0
53,11.0,[],"[36.0, 37.0, 38.0, 39.0, 40.0, 66.0, 67.0, 68.0, 69.0, 70.0, 76.0, 77.0, 78.0, 79.0]",[],0.0,0.0,0.0,0.0,0.0
53,13.0,[],"[1.0, 2.0, 3.0, 4.0, 5.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0]",[],0.0,0.0,0.0,0.0,0.0
